Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Series
5.0,"SY Lim, OB Musa, BAS Al-Rimy, A Almasri",Trust models for blockchain-based self-sovereign identity management: A survey and research directions,2022.0,Advances in Blockchain …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-93646-4_13,"https://scholar.google.com/scholar?cites=9195089116739146406&as_sdt=2005&sciodt=0,5&hl=en",42.0,2023-11-17 09:33:29,,10.1007/978-3-030-93646-4_13,,,,,,,5.0,5.0,1.0,4.0,1.0,… blockchain-based self-sovereign identity. A formal and comprehensive trust model proposed for blockchain-based Self-Sovereign … blockchain technology for self-sovereignty in identity …,,"https://scholar.google.com/scholar?q=related:phJMgdWEm38J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Y Kurihara,Self-sovereign identity and blockchain-based content management,2020.0,Human-Centric Computing in a Data-Driven Society …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-62803-1_11,"https://scholar.google.com/scholar?cites=4940847960051732210&as_sdt=2005&sciodt=0,5&hl=en",47.0,2023-11-17 09:33:29,,10.1007/978-3-030-62803-1_11,,,,,,,5.0,1.67,5.0,1.0,3.0,"… without the intervention of a controlling entity is called self-sovereign identity (SSI). The SSI is an … of self-sovereign management of digital content, and discuss DRM using blockchain …",https://inria.hal.science/hal-03525259/document,"https://scholar.google.com/scholar?q=related:8s4YvAprkUQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,"E Bandara, X Liang, P Foytik, S Shetty, C Hall, ...",Connect-blockchain and self-sovereign identity empowered contact tracing platform,2021.0,… and Healthcare: 9th EAI …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-70569-5_13,"https://scholar.google.com/scholar?cites=9957260844302138360&as_sdt=2005&sciodt=0,5&hl=en",48.0,2023-11-17 09:33:29,,10.1007/978-3-030-70569-5_13,,,,,,,6.0,3.0,1.0,6.0,2.0,"… safely"" system based on a blockchain and self-sovereign identity (SSI) empowered digital … and events related to testing/symptoms on a blockchain platform using SSI [27] proofs. The …",https://eudl.eu/pdf/10.1007/978-3-030-70569-5_13,"https://scholar.google.com/scholar?q=related:-PuIaPtLL4oJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"E Bandara, X Liang, P Foytik, S Shetty, ...",Promize-blockchain and self sovereign identity empowered mobile ATM platform,2021.0,… : Proceedings of the …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-80126-7_63,"https://scholar.google.com/scholar?cites=4088587894593887930&as_sdt=2005&sciodt=0,5&hl=en",54.0,2023-11-17 09:33:29,,10.1007/978-3-030-80126-7_63,,,,,,,4.0,2.0,1.0,5.0,2.0,"… , we propose a blockchain and self-sovereign identity [36]-… are done through the self-sovereign identity empowered Promize … -currency application with its blockchain. Instead, it provides …",https://www.researchgate.net/profile/Eranga-Bandara/publication/353051186_Promize_-_Blockchain_and_Self_Sovereign_Identity_Empowered_Mobile_ATM_Platform/links/617258c1750da711ac6c9fdc/Promize-Blockchain-and-Self-Sovereign-Identity-Empowered-Mobile-ATM-Platform.pdf,"https://scholar.google.com/scholar?q=related:uh47IgeVvTgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"M Chawla, S Gupta",The Changing Landscape of Identity and Access Management with Blockchain-Based Self-Sovereign Identity,2022.0,ICT Infrastructure and Computing: Proceedings of …,Springer,https://link.springer.com/chapter/10.1007/978-981-19-5331-6_70,"https://scholar.google.com/scholar?cites=4136201121511948533&as_sdt=2005&sciodt=0,5&hl=en",59.0,2023-11-17 09:33:29,,10.1007/978-981-19-5331-6_70,,,,,,,1.0,1.0,1.0,2.0,1.0,"… However, due to the lack of generic design principles for self-sovereign identity based on blockchain, it is difficult to ascertain the mandatory attributes [9]. It is worth noting that a …",https://www.researchgate.net/profile/Obianuju-Okeke-Uzodike/publication/365230507_Emotional_Intelligence_as_a_Predictor_of_Success_in_e-Learning_Engagement_During_COVID-19_A_Case_of_Veritas_University_Abuja_Nigeria/links/63df984762d2a24f9202ac61/Emotional-Intelligence-as-a-Predictor-of-Success-in-e-Learning-Engagement-During-COVID-19-A-Case-of-Veritas-University-Abuja-Nigeria.pdf#page=677,"https://scholar.google.com/scholar?q=related:9cBKZwG9ZjkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,"AB Chavan, K Rajeswari",Design and development of self-sovereign identity using Ethereum blockchain,2020.0,Sustainable Communication Networks and …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-34515-0_55,"https://scholar.google.com/scholar?cites=18090097897401751838&as_sdt=2005&sciodt=0,5&hl=en",62.0,2023-11-17 09:33:29,,10.1007/978-3-030-34515-0_55,,,,,,,7.0,2.33,4.0,2.0,3.0,… There is no restriction on our identity and it will be completely under the … blockchain technology we can develop this kind of identity. This paper focusing on various aspects of blockchain …,,"https://scholar.google.com/scholar?q=related:HhmsNjHwDPsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"A Farao, G Paparis, S Panda, E Panaousis, ...",INCHAIN: a cyber insurance architecture with smart contracts and self-sovereign identity on top of blockchain,2023.0,International Journal of …,Springer,https://link.springer.com/article/10.1007/s10207-023-00741-8,,63.0,2023-11-17 09:33:29,HTML,10.1007/s10207-023-00741-8,,,,,,,0.0,0.0,0.0,5.0,1.0,"… , an innovative architecture that utilizes Blockchain technology to provide data transparency … cyber insurance processes, and Self-Sovereign Identity for robust identification. The …",https://link.springer.com/article/10.1007/s10207-023-00741-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,"RU Haque, ASMT Hasan, A Daria, Q Qu, ...",Towards convergence of blockchain and self-sovereign identity for privacy-preserving secure federated learning,2021.0,… Conference on Big Data …,Springer,https://link.springer.com/chapter/10.1007/978-981-19-0852-1_19,"https://scholar.google.com/scholar?cites=12208136450810939909&as_sdt=2005&sciodt=0,5&hl=en",65.0,2023-11-17 09:33:29,,10.1007/978-981-19-0852-1_19,,,,,,,3.0,1.5,1.0,5.0,2.0,"… self-sovereign identity (SSI) [9] and differential privacy-based framework indicated as secure SSI-FL. This framework authenticates the government-issued identity … in the Blockchain [11], …",,"https://scholar.google.com/scholar?q=related:BYoVqGsDbKkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"M George, AM Chacko",Health Passport: A blockchain-based PHR-integrated self-sovereign identity system,2023.0,Frontiers in Blockchain,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fbloc.2023.1075083/full,,66.0,2023-11-17 09:33:29,HTML,10.3389/fbloc.2023.1075083,,,,,,,0.0,0.0,0.0,2.0,1.0,… a person’s health status along with their identity to permit travel. This was facilitated via … (AOM) to design a blockchain-based self-sovereign identity (SSI) system integrated with the …,https://www.frontiersin.org/articles/10.3389/fbloc.2023.1075083/full,"https://scholar.google.com/scholar?q=related:hylrctREF3AJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,"SS Darnell, J Sevilla",3 stages of a pan-african identity framework for establishing self-sovereign identity with blockchain,2021.0,Frontiers in Blockchain,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fbloc.2021.631640/full,"https://scholar.google.com/scholar?cites=1462283856171926276&as_sdt=2005&sciodt=0,5&hl=en",74.0,2023-11-17 09:33:29,HTML,10.3389/fbloc.2021.631640,,,,,,,2.0,1.0,1.0,2.0,2.0,"… self-sovereign identity framework, our proposal embodies the primary aspects of a foundational identity … The final category is self-sovereign identity, which we posit is currently only …",https://www.frontiersin.org/articles/10.3389/fbloc.2021.631640/full,"https://scholar.google.com/scholar?q=related:BIPqb2sTSxQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"A Sherriff, K Young, M Shea",Establishing Self Sovereign Identity with Blockchain,2022.0,Frontiers in Blockchain,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fbloc.2022.955868/full,,81.0,2023-11-17 09:33:29,HTML,10.3389/fbloc.2022.955868,,,,,,,0.0,0.0,0.0,3.0,1.0,… Digital identity is a divisive topic. This is especially true of the Self-Sovereign Identity systems and … today using decentralized architectures with blockchain technology foundations. …,https://www.frontiersin.org/articles/10.3389/fbloc.2022.955868/full,"https://scholar.google.com/scholar?q=related:sMgjwHuc5T8J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"T Cippitelli, A Marcelletti, A Morichetta",ChorSSI: A BPMN-Based Execution Framework for Self-Sovereign Identity Systems on Blockchain,2023.0,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-43433-4_1,,87.0,2023-11-17 09:33:29,,10.1007/978-3-031-43433-4_1,,,,,,,0.0,0.0,0.0,3.0,1.0,… blockchain-based system for managing property transactions in Sweden. This project is a significant example of self-sovereign identity … The solution introduces a new blockchain-based …,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"YH Lee, ZY Liu, R Tso, YF Tseng",Blockchain-Based Self-Sovereign Identity System with Attribute-Based Issuance,2022.0,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-21280-2_2,,90.0,2023-11-17 09:33:29,,10.1007/978-3-031-21280-2_2,,,,,,,0.0,0.0,0.0,4.0,1.0,… to fully control his identity. We also consider the possibility of self-sovereign identity systems. With … We present a decentralized attribute-based self-sovereign identity system supporting …,,"https://scholar.google.com/scholar?q=related:bRpgajlpM40J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"S Saha, SN Nova, MI Iqbal",Healthcare Professionals Credential Verification Model Using Blockchain-Based Self-sovereign Identity,2023.0,… of the Fourth International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-981-19-9483-8_32,,91.0,2023-11-17 09:33:29,,10.1007/978-981-19-9483-8_32,,,,,,,0.0,0.0,0.0,3.0,1.0,"… credentials with minimal identity reveal. In this research work, we propose a privacy-preserving Self-Sovereign Identity (SSI) model leveraging a decentralized Blockchain which verifies …",,"https://scholar.google.com/scholar?q=related:UMDp3oSDMAQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"B Nassr Eddine, A Ouaddah, A Mezrioui",Blockchain-Based Self Sovereign Identity Systems: High-Level Processing and a Challenges-Based Comparative Analysis,2022.0,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-26384-2_42,,99.0,2023-11-17 09:33:29,,10.1007/978-3-031-26384-2_42,,,,,,,0.0,0.0,0.0,3.0,1.0,"… self-sovereign identity platforms that allow individuals to create and manage their own digital identity. … Civic [4], which operates over identity.com as its decentralized identity verification …",,"https://scholar.google.com/scholar?q=related:2UtgqeTL9UoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"CD Au, H Michael",Dezentrale Identitäten für Personen und Unternehmen in der Blockchain: Self-Sovereign Identity am Beispielprojekt „Lissi “,2023.0,Banking &Innovation 2022/2023: Ideen und …,Springer,https://link.springer.com/chapter/10.1007/978-3-658-39388-5_34,,145.0,2023-11-17 09:33:29,,10.1007/978-3-658-39388-5_34,,,,,,,0.0,0.0,0.0,2.0,1.0,"… Zusammen mit der Blockchain-Technologie entwickelte sich in den vergangenen Jahren … , das im englischen Fachjargon auch als „Self-Sovereign Identity“ (SSI) bezeichnet wird. Die …",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thorve A.; Shirole M.; Jain P.; Santhumayor C.; Sarode S.,Decentralized Identity Management Using Blockchain,2022.0,Scopus,,,,,,,10.1109/ICAC3N56670.2022.10074477,,,,,,,,,,,,"Identity management is the process of setting and organizing the roles and access privileges of a user's identity. The current identity management system is centralized and is controlled by a single entity. Users' privacy concerns are not in their best interest. Users have very little to no control over their data. The centralized system becomes a single point of failure which is prone to attack that leads to users losing their data privacy if these centralized systems are breached. Therefore we propose a Blockchain-based decentralized Identity Management System that makes use of self-sovereign identity, decentralized identifiers, and verifiable credentials. It also gives users the ability to choose from a very large number of identity providers instead of just a select few corporations. The main advantages of the proposed solution include the elimination of the need for a central authority for identity verification and identity data management, the reduction of time spent on identity verification, the ability to share data with permission, and the ability to verify the origin of the data while sharing. © 2022 IEEE.",,,"Thorve, Atharva (58178733500); Shirole, Mahesh (36500348900); Jain, Pratik (58178670800); Santhumayor, Crehan (58178733600); Sarode, Soham (58178644400)",58178733500; 36500348900; 58178670800; 58178733600; 58178644400,"Proceedings - 2022 4th International Conference on Advances in Computing, Communication Control and Networking, ICAC3N 2022",,1985.0,1991.0,6.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152193057&doi=10.1109%2fICAC3N56670.2022.10074477&partnerID=40&md5=6cc0d5c627e5e1430174140406867917,,Authentication; Blockchain; Information management; 'current; Block-chain; Centralised; Centralized systems; Decentralised; Identity management; Identity management systems; Identity verification; Management IS; User identity; Data privacy,Conference paper,Final,,2-s2.0-85152193057,,,,,,,,,,,
,Ahmed K.A.M.; Saraya S.F.; Wanis J.F.; Ali-Eldin A.M.T.,A Blockchain Self-Sovereign Identity for Open Banking Secured by the Customer’s Banking Cards,2023.0,Scopus,,,,,,,10.3390/fi15060208,,,15,6,,,,,,,,"Open finance is evolving and extending open banking. This creates a large context that implies a financial and identity data exchange paradigm, which faces challenges to balance customer experience, security, and the self-control over personal identity information. We propose Self-Sovereign Banking Identity (SSBI), a Blockchain-based self-sovereign identity (SSI) to secure private data sharing by utilizing trusted customer’s banking cards as a key storage and identity transaction-signing enclave. The design and implementation of the SSI framework is based on the Veramo SDK and Ethereum to overcome the limitation of signing curve availability on the current banking Java Cards needed for Hyperledger Indy. SSBI uses the elliptic curve SECP256K1 for transaction signing, which exists for several payment cards in the market. SSBI enables automated financial services and trust in the service provider communication. This work analyzes the flow and framework components, and evaluates the usability, integration, and performance in terms of throughput, latency, security, and complexity. Furthermore, the proposed approach is compared with related solutions. The presented prototype implementation is based on a test Ethereum network and signing transactions on the banking card. The preliminary results show that SSBI provides an effective solution for integrating the customer’s banking cards to secure open banking identity exchange. Furthermore, it allows the integration of several scenarios to support trusted open banking. The Blockchain layer settings need to be scaled and improved before real-world implementation. © 2023 by the authors.",,,"Ahmed, Khaled A. M. (57221975818); Saraya, Sabry F. (6505937169); Wanis, John F. (58406094700); Ali-Eldin, Amr M. T. (58223544000)",57221975818; 6505937169; 58406094700; 58223544000,Future Internet,208,,,,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163683012&doi=10.3390%2ffi15060208&partnerID=40&md5=65e83513252513b249888fbea66b875d,banking card; Blockchain; digital identity; open banking; self-sovereign identity,Digital storage; Electronic data interchange; Electronic document identification systems; Electronic money; Finance; Sales; Banking card; Block-chain; Customer experience; Digital identity; Identity information; Key storage; Open banking; Personal identity; Private data sharing; Self-sovereign identity; Blockchain,Article,Final,All Open Access; Gold Open Access,2-s2.0-85163683012,,,,,,,,,,,
,Singh Sidhu S.; Nguyen M.N.H.; Ngene C.; Rouhani S.,Trust Development for Blockchain Interoperability Using Self-sovereign Identity Integration,2022.0,Scopus,,,,,,,10.1109/IEMCON56893.2022.9946562,,,,,,,,,,,,"Despite advances in developing various blockchain platforms and services, disparate blockchain networks do not support direct communications, causing fragmentation and data and asset in silos. Blockchain interoperability is a solution that allows communication between different blockchain platforms to exchange data and assets. This study investigates a blockchain interoperability solution based on publish-subscribe architecture to share data between various blockchain platforms. We extend the solution by providing decentralized identifiers and verifiable credentials to the users sharing and accessing data through inte-gration with Hyperledger Indy, Aries, and Ursa stack projects, which are blockchain services offering decentralized identity. We also designed a testbed comprising multiple permissioned blockchain platforms integrated with decentralized identity ser-vices to evaluate the proposed system's security and integrity  © 2022 IEEE.",,,"Singh Sidhu, Sahilpreet (57998345800); Nguyen, Minh Nam Hai (57998468700); Ngene, Chikamnaele (57998218100); Rouhani, Sara (57202057730)",57998345800; 57998468700; 57998218100; 57202057730,"2022 IEEE 13th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2022",,33.0,40.0,7.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143611405&doi=10.1109%2fIEMCON56893.2022.9946562&partnerID=40&md5=5ba13a72c76e8f98057190b2e5f2f1cc,Blockchain; Hyperledger; Interoperability; Publish-subscribe; Self-sovereign identity,Distributed ledger; Interoperability; Accessing data; Block-chain; Decentralised; Direct communications; Hyperledg; Identity integrations; Publish/subscribe; Self-sovereign identity; Service offering; System security; Blockchain,Conference paper,Final,,2-s2.0-85143611405,,,,,,,,,,,
