Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Journal,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Series
2.0,"T Das, S Mukherjee",Data Privacy in IoT Network Using Blockchain Technology,2022.0,Intelligent Systems for Social Good: Theory and …,Springer,https://link.springer.com/chapter/10.1007/978-981-19-0770-8_10,"https://scholar.google.com/scholar?cites=12884528531159124851&as_sdt=2005&sciodt=0,5&hl=en",63.0,2023-11-16 18:25:10,,10.1007/978-981-19-0770-8_10,,,,,,,2.0,2.0,1.0,2.0,1.0,"… Privacy, Blockchain information are stored in … privacy is not a hidden feature that Blockchain conventionally provides us. Here the data need to be captured in such a way that the privacy …",https://www.researchgate.net/profile/Aleem-Ali/publication/361230641_Prospects_of_'SMART_Farming'_in_Cold_Arid_Region_of_Ladakh_India/links/62b192e3dc817901fc7034f5/Prospects-of-SMART-Farming-in-Cold-Arid-Region-of-Ladakh-India.pdf#page=129,"https://scholar.google.com/scholar?q=related:cwsgFm8Kz7IJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,"M Al-Abdullah, I Alsmadi, R AlAbdullah, ...",Designing privacy-friendly data repositories: a framework for a blockchain that follows the GDPR,2020.0,"… Policy, Regulation and …",emerald.com,https://www.emerald.com/insight/content/doi/10.1108/DPRG-04-2020-0050/full/html,"https://scholar.google.com/scholar?cites=3655993970143767509&as_sdt=2005&sciodt=0,5&hl=en",64.0,2023-11-16 18:25:10,,10.1108/DPRG-04-2020-0050,,,,,,,14.0,4.67,4.0,4.0,3.0,… ’s focus is a generic literature review about blockchain and GDPR or blockchain and data privacy regulation. Blockchain governance models and technical requirements change on a …,,"https://scholar.google.com/scholar?q=related:1atjQyWzvDIJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,"H Zhang, G Li, Y Zhang, K Gai, M Qiu",Blockchain-based privacy-preserving medical data sharing scheme using federated learning,2021.0,"… 2021, Tokyo, Japan, August 14–16 …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-82153-1_52,"https://scholar.google.com/scholar?cites=13503143653030581319&as_sdt=2005&sciodt=0,5&hl=en",70.0,2023-11-16 18:25:10,,10.1007/978-3-030-82153-1_52,,,,,,,16.0,8.0,3.0,5.0,2.0,"… of data privacy when sharing medical data, we propose a medical data privacy protection framework based on blockchain (… , we protect privacy by adding differential privacy noise into …",,"https://scholar.google.com/scholar?q=related:R1T1FZzNZLsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,"L Javed, A Anjum, BM Yakubu, M Iqbal, ...",ShareChain: Blockchain‐enabled model for sharing patient data using federated learning and differential privacy,2023.0,Expert …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.13131,"https://scholar.google.com/scholar?cites=10425331483112973160&as_sdt=2005&sciodt=0,5&hl=en",71.0,2023-11-16 18:25:10,,10.1111/exsy.13131,,,,,,,9.0,9.0,2.0,5.0,1.0,"… blockchain, local differential privacy (LDP), and federated learning (FL) to ensure the privacy of patients' data … Even though we are achieving data privacy by adding noise, one thing that …",https://www.researchgate.net/profile/Bello-Yakubu-2/publication/362907574_ShareChain_Blockchain-enabled_model_for_sharing_patient_data_using_federated_learning_and_differential_privacy/links/6306d977acd814437fd4da7c/ShareChain-Blockchain-enabled-model-for-sharing-patient-data-using-federated-learning-and-differential-privacy.pdf,"https://scholar.google.com/scholar?q=related:aCOlhL83rpAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,"S Rahmadika, KH Rhee",Enhancing data privacy through a decentralised predictive model with blockchain-based revenue,2021.0,… Journal of Ad Hoc and Ubiquitous …,inderscienceonline.com,https://www.inderscienceonline.com/doi/abs/10.1504/IJAHUC.2021.115104,"https://scholar.google.com/scholar?cites=130513218509258723&as_sdt=2005&sciodt=0,5&hl=en",72.0,2023-11-16 18:25:10,,10.1504/IJAHUC.2021.115104,,,,,,,7.0,3.5,4.0,2.0,2.0,… a decentralised approach to enhance data privacy in AI training … on providing privacy for shared storage in a public blockchain … Both schemes are relying on blockchain technology along …,,"https://scholar.google.com/scholar?q=related:47-8qxStzwEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"Y Wang, W Huang, J Yu, K Chen, ...",Data privacy protection method of internet of things based on blockchain technology,2020.0,Journal of Physics …,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1651/1/012068/meta,"https://scholar.google.com/scholar?cites=6264491564609804679&as_sdt=2005&sciodt=0,5&hl=en",73.0,2023-11-16 18:25:10,,10.1088/1742-6596/1651/1/012068,,,,,,,4.0,1.33,1.0,5.0,3.0,"… privacy protection, this paper analyzes the application value of blockchain in the Internet of things privacy … aspects to solve the Internet of things privacy disclosure and tampering, as well …",https://iopscience.iop.org/article/10.1088/1742-6596/1651/1/012068/pdf,"https://scholar.google.com/scholar?q=related:h5n_JuPx71YJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
325.0,"A Al Omar, MS Rahman, A Basu, S Kiyomoto",Medibchain: A blockchain based privacy preserving platform for healthcare data,2017.0,"… , Privacy, and Anonymity in …",Springer,https://link.springer.com/chapter/10.1007/978-3-319-72395-2_49,"https://scholar.google.com/scholar?cites=16125138873765542631&as_sdt=2005&sciodt=0,5&hl=en",74.0,2023-11-16 18:25:10,,10.1007/978-3-319-72395-2_49,,,,,,,325.0,54.17,81.0,4.0,6.0,… centric healthcare data management system by using Blockchain as storage to attain privacy. Pseudonymity is ensured by using the cryptographic functions to protect patient’s data. …,https://www.researchgate.net/profile/Abdullah-Omar-11/publication/321674033_MediBchain_A_Blockchain_Based_Privacy_Preserving_Platform_for_Healthcare_Data/links/5c860073458515831f9ab07a/MediBchain-A-Blockchain-Based-Privacy-Preserving-Platform-for-Healthcare-Data.pdf,"https://scholar.google.com/scholar?q=related:5zqj_F4AyN8J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,"R Folha, V Times, A Carvalho, A Araújo, ...",FoodChain: A food delivery platform based on blockchain for keeping data privacy,2022.0,… on Database Systems …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-00129-1_43,"https://scholar.google.com/scholar?cites=13057688753512113871&as_sdt=2005&sciodt=0,5&hl=en",78.0,2023-11-16 18:25:10,,10.1007/978-3-031-00129-1_43,,,,,,,2.0,2.0,0.0,5.0,1.0,"… by maintaining the privacy of those involved and eliminating costs and decentralizing data, this article presents a marketplace platform based on smart contracts hosted on a blockchain. …",https://arthurcarvalho.info/publications/2022DASFAA.pdf,"https://scholar.google.com/scholar?q=related:z-azHL06NrUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"B Annane, A Alti, L Laouamer, H Reffad",Cx‐CP‐ABE: Context‐aware attribute‐based access control schema and blockchain technology to ensure scalable and efficient health data privacy,2022.0,Security and Privacy,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/spy2.249,"https://scholar.google.com/scholar?cites=18240080441153297971&as_sdt=2005&sciodt=0,5&hl=en",79.0,2023-11-16 18:25:10,,10.1002/spy2.249,,,,,,,4.0,4.0,1.0,4.0,1.0,… management while ensuring data integrity and … of blockchain is a hybrid blockchain (private and public) for private/public partnerships. The ABE schema is used with public blockchain …,https://www.researchgate.net/profile/Alti-Adel/publication/361642866_Cx-CP-ABE_Context-aware_attribute-based_access_control_schema_and_blockchain_technology_to_ensure_scalable_and_efficient_health_data_privacy/links/6470876559d5ad5f9c758557/Cx-CP-ABE-Context-aware-attribute-based-access-control-schema-and-blockchain-technology-to-ensure-scalable-and-efficient-health-data-privacy.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D,"https://scholar.google.com/scholar?q=related:Mx5-aYXIIf0J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,"Y Liu, J Zhang, J Zhan",Privacy protection for fog computing and the internet of things data based on blockchain,2021.0,Cluster Computing,Springer,https://link.springer.com/article/10.1007/s10586-020-03190-3,"https://scholar.google.com/scholar?cites=10178036880745109529&as_sdt=2005&sciodt=0,5&hl=en",83.0,2023-11-16 18:25:10,HTML,10.1007/s10586-020-03190-3,,,,,,,56.0,28.0,19.0,3.0,2.0,… a blockchain-based distributed access control system to maintain the IoT data privacy. In this … problems related to IoT data privacy as a result of its vulnerability to data leakage. Moreover…,https://link.springer.com/article/10.1007/s10586-020-03190-3,"https://scholar.google.com/scholar?q=related:GRijE56mP40J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"N Raghav, AK Bhola",Secured platform for healthcare data: privacy preservation based blockchain environment,2022.0,"Journal of Engineering, Design and …",emerald.com,https://www.emerald.com/insight/content/doi/10.1108/JEDT-09-2021-0494/full/html,"https://scholar.google.com/scholar?cites=6561044553201789470&as_sdt=2005&sciodt=0,5&hl=en",84.0,2023-11-16 18:25:10,,10.1108/JEDT-09-2021-0494,,,,,,,1.0,1.0,1.0,2.0,1.0,… blockchain-based safe health-care technology with privacy preservation tactics on preserving sensitive data… involved in the privacy preservation technique-based blockchain technology. …,,"https://scholar.google.com/scholar?q=related:HqoaXUKDDVsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,"TW Jing, RK Murugesan",Protecting Data Privacy and Prevent Fake News and Deepfakes in Social Media via Blockchain Technology,2021.0,"… , ACeS 2020, Penang, Malaysia, December 8-9 …",Springer,https://link.springer.com/chapter/10.1007/978-981-33-6835-4_44,"https://scholar.google.com/scholar?cites=15962918628436685510&as_sdt=2005&sciodt=0,5&hl=en",85.0,2023-11-16 18:25:10,,10.1007/978-981-33-6835-4_44,,,,,,,7.0,3.5,4.0,2.0,2.0,"… To protect data integrity and privacy of the users on social media, this paper … data privacy in social media via blockchain technology. The proposed trust index model use blockchain to …",,"https://scholar.google.com/scholar?q=related:xjJv2uqth90J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
1300.0,"X Yue, H Wang, D Jin, M Li, W Jiang",Healthcare data gateways: found healthcare intelligence on blockchain with novel privacy risk control,2016.0,Journal of medical systems,Springer,https://link.springer.com/article/10.1007/s10916-016-0574-6,"https://scholar.google.com/scholar?cites=18383530533497336246&as_sdt=2005&sciodt=0,5&hl=en",90.0,2023-11-16 18:25:10,,10.1007/s10916-016-0574-6,,,,,,,1300.0,185.71,260.0,5.0,7.0,"… Data Gateway (HGD)) architecture based on blockchain to enable patient to own, control and share their own data easily and securely without violating privacy, … patient data private. Our …",,"https://scholar.google.com/scholar?q=related:tvGnvp5rH_8J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,"D Singh, JK Chaddah","A study on application of blockchain technology to control counterfeit drugs, enhance data privacy and improve distribution in online pharmacy",2021.0,Asia Pacific Journal of Health …,search.informit.org,https://search.informit.org/doi/abs/10.3316/INFORMIT.080973225524455,"https://scholar.google.com/scholar?cites=6332518874951352810&as_sdt=2005&sciodt=0,5&hl=en",92.0,2023-11-16 18:25:10,,10.3316/INFORMIT.080973225524455,,,,,,,6.0,3.0,3.0,2.0,2.0,… Blockchain technology is no exception in providing the solution to eliminate the counterfeit … Blockchain technology can ensure data privacy while improving supply chain transparency …,https://journal.achsm.org.au/index.php/achsm/article/download/1013/557,"https://scholar.google.com/scholar?q=related:6oHuml2g4VcJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,"M Arulprakash, R Jebakumar",Enhanced Data Privacy Preservation Model for Mobile Crowdsensing System Using Blockchain Technology,2022.0,Ambient Communications and Computer …,Springer,https://link.springer.com/chapter/10.1007/978-981-16-7952-0_53,"https://scholar.google.com/scholar?cites=17696399652704177496&as_sdt=2005&sciodt=0,5&hl=en",97.0,2023-11-16 18:25:10,,10.1007/978-981-16-7952-0_53,,,,,,,3.0,3.0,2.0,2.0,1.0,"… -off between data quality and privacy preserving. We plan to integrate blockchain technology into the crowdsensing system. Meanwhile, we also focus on how to protect data privacy in …",,"https://scholar.google.com/scholar?q=related:WE3Hfrk9lvUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"YF Wen, CP Wang",Data privacy mechanisms development and performance evaluation for personal and ubiquitous blockchain-based storage,2023.0,The Journal of Supercomputing,Springer,https://link.springer.com/article/10.1007/s11227-023-05425-7,,98.0,2023-11-16 18:25:10,,10.1007/s11227-023-05425-7,,,,,,,0.0,0.0,0.0,2.0,1.0,"… store and access mechanisms for achieving data privacy, decentralisation, and load balancing in a data storage system. We explore how factors such as data privacy, file segmentation, …",,"https://scholar.google.com/scholar?q=related:m2NRDM7lMkoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
