Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Houda Z.A.E., Hafid A.S., Khoukhi L.","MiTFed: A Privacy Preserving Collaborative Network Attack Mitigation Framework Based on Federated Learning using SDN and Blockchain",2023,"IEEE Transactions on Network Science and Engineering",,"10.1109/TNSE.2023.3237367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147282559&doi=10.1109%2fTNSE.2023.3237367&partnerID=40&md5=1b3b58c82082a82f5a4357ae50bf0b76","Distributed denial-of-service (DDoS) attacks continue to grow at a rapid rate plaguing Internet Service Providers (ISPs) and individuals in a stealthy way. Thus, intrusion detection systems (IDSs) must evolve to cope with these increasingly sophisticated and challenging security threats. Traditional IDSs are prone to zero-day attacks since they are usually signature-based detection systems. The recent advent of machine learning and deep learning (ML/DL) techniques can help strengthen these IDSs. However, the lack of up-to-date labeled training datasets makes these ML/DL based IDSs inefficient. The privacy nature of these datasets and widespread emergence of adversarial attacks make it difficult for major organizations to share their sensitive data. Federated Learning (FL) is gaining momentum from both academia and industry as a new sub-field of ML that aims to train a global statistical model across multiple distributed users, referred to as collaborators, without sharing their private data. Due to its privacy-preserving nature, FL has the potential to enable privacy-aware learning between a large number of collaborators. This paper presents a novel framework, called MiTFed, that allows multiple software defined networks (SDN) domains (<inline-formula><tex-math notation=""LaTeX"">$i.e.,$</tex-math></inline-formula> collaborators) to collaboratively build a global intrusion detection model without sharing their sensitive datasets. In particular, MiTFed consists of: (1) a novel distributed architecture that allows multiple SDN based domains to securely collaborate in order to cope with sophisticated security threats while preserving the privacy of each SDN domain; (2) a novel Secure Multiparty Computation (SMPC) scheme to securely aggregate local model updates; and (3) a blockchain based scheme that uses Ethereum smart contracts to maintain the collaboration in a fully decentralized, trustworthy, flexible, and efficient manner. To the best of our knowledge, MiTFed is the first framework that leverages FL, blockchain and SDN technologies to mitigate the new emerging security threats in large scale. To evaluate MiTFed, we conduct several experiments using real-world network attacks; the experimental results using the well-known public network security dataset NSL-KDD show that MiTFed achieves efficiency and high accuracy in detecting the new emerging security threats in both binary and multi-class classification while preserving the privacy of collaborators, making it a promising framework to cope with the new emerging security threats in SDN. IEEE","Blockchain; Blockchains; Collaboration; Data models; Data privacy; DDoS; Feature extraction; Federated Learning; Federated learning; IDS; Intrusion detection; SDN; Smart contracts; SMPC","Blockchain; Deep learning; Denial-of-service attack; Feature extraction; Internet service providers; Intrusion detection; Privacy-preserving techniques; Sales; Security systems; Sensitive data; Zero-day attack; Block-chain; Collaboration; Distributed denial of service; Features extraction; Federated learning; Intrusion Detection Systems; Intrusion-Detection; Secure multi-party computation; Software-defined networks; Smart contract",Article,"Article in Press","",Scopus,2-s2.0-85147282559
"Zhao Y., Zhao J., Jiang L., Tan R., Niyato D., Li Z., Lyu L., Liu Y.","Erratum: Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices (IEEE Internet of Things Journal (2020) 8:3 (1817-1829) DOI: 10.1109/JIOT.2020.3017377)",2023,"IEEE Internet of Things Journal",,"10.1109/JIOT.2021.3098910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146939265&doi=10.1109%2fJIOT.2021.3098910&partnerID=40&md5=f7d21249c50fe597c711d5c01d4ea583","In [1], on page 1824, Fig. 3 should be as follows: (Figure Presented). © 2014 IEEE.",,,Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85146939265
"Bi L., Muazu T., Samuel O.","IoT: A Decentralized Trust Management System Using Blockchain-Empowered Federated Learning",2023,"Sustainability (Switzerland)",,"10.3390/su15010374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145903191&doi=10.3390%2fsu15010374&partnerID=40&md5=9692852d5548fdde810466c7fb629243","We propose a decentralized medical trust management system using blockchain-based federated learning for large-scale Internet of Things (IoT) systems. The proposed system enables health institutions to share data without revealing the privacy of data owners. Health institutions form coalitions and the leader of each coalition is elected based on the proposed proof-of-trust collaboration (PoTC) consensus protocol. The PoTC consensus protocol is based on a weight difference game where trust scores, trust consistency value, and trust deviation are factors used for evaluating nodes in the blockchain. The trust of a node is obtained either through direct trust or recommended trust evaluations. Each leader elects an aggregator who has the most credibility to manage the proposed federated learning system. The leaders become the federated clients as well as validators while the aggregator is the federated server. To ensure the decentralization of nodes, a consortium blockchain is employed. Extensive simulations are performed, which show that the proposed system not only demonstrates scalability and credibility without compromising the accuracy, convergence, and resilience properties against malicious attackers but also outperforms existing trust management systems. A security analysis is also conducted, which shows that the proposed system is robust against trust-related attacks. © 2022 by the authors.","blockchain; IoT; machine learning; proof-of-trust collaboration; trust evaluation","accuracy assessment; decentralization; empowerment; Internet; machine learning; management practice; security",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85145903191
"Farooq K., Syed H.J., Alqahtani S.O., Nagmeldin W., Ibrahim A.O., Gani A.","Blockchain Federated Learning for In-Home Health Monitoring",2023,"Electronics (Switzerland)",,"10.3390/electronics12010136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145818730&doi=10.3390%2felectronics12010136&partnerID=40&md5=864870c900333f688480e1ef43f65efd","This research combines two emerging technologies, the IoT and blockchain, and investigates their potential and use in the healthcare sector. In healthcare, IoT technology can be utilized for purposes such as remotely monitoring patients’ health. This paper details ongoing research towards individualized health monitoring using wearable gadgets. The goal of improving healthcare facilities and improvement of the quality of life of citizens naturally brings up Internet of Things (IoT) technologies for consideration. Health observation is exceptionally critical in terms of avoidance, especially since the early determination of illnesses can minimize trouble and treatment costs. The cornerstones of intelligent, integrated, and individualized healthcare are continuous monitoring of physical signs and evaluation of medical data. To build a more reliable and robust IoMT model, the study will monitor the application of blockchain technology in federated learning (FL). A viable way to address the heterogeneity problem in federated learning is to design the system, data, and model tiers to lessen heterogeneity and produce a high-quality, tailored model for each endpoint. Blockchain-based federated learning allows for smarter simulations, lower latency, and lower power consumption while maintaining privacy at the same time. This solution provides another immediate benefit: in addition to having a shared model upgrade, the updated model on phones will now be used automatically, giving personalized knowledge about the phone is used. © 2022 by the authors.","blockchain; federated learning; health monitoring; Internet of Medical Things (IoMT); personalized healthcare",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85145818730
"Aguilera R.C., Ortiz M.P., Esteva V.A., Bautista D.P.","Blockchain-based ioflt federated learning in a fuzzy/gan environment for a smart trading bot",2023,"Fractals",,"10.1142/S0218348X23500056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145594427&doi=10.1142%2fS0218348X23500056&partnerID=40&md5=54734952c3cd5ac44af6c6c26897bf24","A DAPP is performed with collaborative training, where ""Federated Learning""uses each device client to work as a singular artificial intelligence model using machine learning. The purpose is to reduce the latency by using computing resources from all client devices and increase privacy since personal data does not leave the client's devices. Applying machine learning massively in decentralized trading bots using blockchain seems to be a great solution. This learning solution can be improved using a fuzzy generative adversarial network environment to help the training. In this case, the expert system has a Python bot to interact with the Binance API to place buy/sell orders for the BTC-USD pair. © 2023 World Scientific Publishing Co. Pte Ltd. All rights reserved.","Blockchain; Generative Adversarial Network (GAN); IoT Federated Learning (IoFLT)","Commerce; Data privacy; Expert systems; Generative adversarial networks; Internet of things; Block-chain; Client devices; Collaborative training; Computing resource; Decentralised; Generative adversarial network; Intelligence models; IoT federated learning (IoFLT); Machine-learning; Network environments; Blockchain",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85145594427
"Zhang W., Wang Z., Li X.","Blockchain-based decentralized federated transfer learning methodology for collaborative machinery fault diagnosis",2023,"Reliability Engineering and System Safety",9,"10.1016/j.ress.2022.108885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144041264&doi=10.1016%2fj.ress.2022.108885&partnerID=40&md5=4149933288d7697223753e90e681dbcf","Due to the limitations of data quality and quantity of a single industrial user, the development of intelligent machinery fault diagnosis methods has been reaching a bottleneck in the perspectives of both academic research and engineering applications in the recent years. Collaborative fault diagnosis model development has been receiving increasing attention, where the distributed data at different users are explored simultaneously. However, data security and privacy are the major industrial concerns, which have not been well addressed in the literature. In this paper, a blockchain-based decentralized federated transfer learning method is proposed for collaborative machinery fault diagnosis. A tailored committee consensus scheme is designed for optimization of the model aggregation process, and a source data-free transfer learning method is further proposed. After global model initialization, the fault diagnosis model can be built through iterations of committee member selection, performance evaluation, transfer learning, model aggregation and blockchain updates. The experiments on two decentralized fault diagnosis datasets are implemented for validations, and higher than 90% testing accuracies can be generally achieved. The experimental results indicate the proposed method is effective in data privacy-preserving collaborative fault diagnosis of multiple users. It offers a promising tool for applications in the real industrial scenarios. © 2022 Elsevier Ltd","Deep learning; Fault diagnosis; Federated learning; Rotating machines; Transfer learning","Blockchain; Data privacy; Deep learning; Fault detection; Industrial research; Learning systems; Block-chain; Decentralised; Deep learning; Fault diagnosis model; Faults diagnosis; Federated learning; Machinery fault diagnosis; Rotating machine; Transfer learning; Transfer learning methods; Failure analysis",Article,"Final","",Scopus,2-s2.0-85144041264
"Nguyen T.A., Kaliappan V.K., Jeon S., Jeon K.-S., Lee J.-W., Min D.","Blockchain Empowered Federated Learning with Edge Computing for Digital Twin Systems in Urban Air Mobility",2023,"Lecture Notes in Electrical Engineering",,"10.1007/978-981-19-2635-8_69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140468691&doi=10.1007%2f978-981-19-2635-8_69&partnerID=40&md5=fd101635be1dcd794163a3e67f6eaed6","The recent emergence of advanced computing technologies has opened a world of possibilities for bridging virtual-physical spaces in the future of urban air mobility (UAM). Digital twin technology (DT) introduces a coupled virtual-physical asset system that evolves over time in their digital and physical state-spaces associated with the real-time exchange of observed data and control inputs for high-fidelity operational services in UAM, such as traffic management, or vehicle maintenance. On the other hand, edge computing has been envisioned as a dominant computing paradigm in future UAM infrastructures to enable infinitesimal-latency processing of massive and heterogeneous data acquired from ubiquitous devices and vehicles. Furthermore, federated learning (FL) has recently been proposed to resolve the performance and security problems of traditional AI techniques featured by centralized data collection and training to offer a decentralized and cooperative data training pattern among a huge number of devices/vehicles (aka., agents) in multi agent DT systems for UAM. Lastly, the blockchain has emerged as a ledger technology in which data and processes are divided into tiny data blocks and concatenated into a series to reinforce the security and scalability of decentralized computing patterns. Realizing the advances and integration of the emerging technologies mentioned above is of paramount importance for the development of DT systems in UAM. Previous studies have not completely considered the integration and harmony of these existing technologies for the development of UAM DT systems. There has also been a significant lack in comprehension and integration of emerging technologies for the development of UAM-DT systems. In that context, this study proposes a comprehensive integrated UAM-DT platform and solution of FL with the blockchain in edge computing for the development of UAM-DT systems, called BlockFE-DT. First, we introduce the adoption of a probabilistic graphical model as a formal mathematical foundation of coupled digital-physical twin systems for UAM, particularly for unmanned aircrafts. Afterwards, we review the fundamental concepts of FL, blockchain, and edge computing technologies to explore and propose an integration framework of FL with the blockchain in edge computing in the context of UAM-DT systems. Key issues in the integration are assimilated including explainable AI, dependability, and security. This work provides ground-breaking concepts and architectures for a blockchain empowered FL framework with edge computing in future UAM-DT systems. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Blockchain; Digital twin; Edge computing; Federated learning; Urban Air Mobility","Blockchain; Digital devices; Digital storage; E-learning; Edge computing; Information management; Integration; Learning systems; Multi agent systems; Ubiquitous computing; Block-chain; Computing technology; Decentralised; Edge computing; Emerging technologies; Federated learning; Physical assets; Technology system; Urban air; Urban air mobility; Air mobility",Conference Paper,"Final","",Scopus,2-s2.0-85140468691
"Ravi Shanker Reddy T., Beena B.M.","AI Integrated Blockchain Technology for Secure Health Care—Consent-Based Secured Federated Transfer Learning for Predicting COVID-19 on Wearable Devices",2023,"Lecture Notes in Networks and Systems",,"10.1007/978-981-19-2821-5_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140461282&doi=10.1007%2f978-981-19-2821-5_30&partnerID=40&md5=ce22b3e089ebb3b8d4eea290c32feba0","COVID-19 has been a major global challenge these days. The pandemic has changed human life, attitude, and behavior. This pandemic added a burden to people’s life and health. With the new variants of SARS-CoV-2, a lot of people are even scared of going to the health centers to get the COVID-19 evaluation in fear of contamination and contagious, which caused the surge in the symptoms at later stages. Data collected across various sources can play an important role in predicting and identifying of COVID-19 virus based on the models and the classifications of this data using the most sophisticated machine learning models. The concern here is accessing or transferring an individual’s data from their personal health devices which defers users’ privacy. In the recent past, there are a lot of research that has been done these days on how blockchain can help to securely track and transfer the data across trusted sources. Adding to this, federated learning also is helping on-device data usage without any critical data to be transferred to various external sources. The proposed study directs the stability of frequent health status with the help of wearable devices that capture health metrics like heart rate, blood oxygen levels, breathing rate, muscle activities, stress, emotions, movement patterns, sleep activity, precipitation, and mind/cognitive functions with the introduction of the data streams and models that can seamlessly transfer the data, with the assurance of data integrity, privacy, and control which is the scope of this paper. The usage of both the emerging technologies provides a value addition in terms of health data exchange with effective data distribution with decentralized privacy and computation. We have also introduced a consent-based personal health device registration mechanism on a blockchain consensus network with digital identity to allow and take back controls over who can access their data. We believe that this solution and the implementation would help everyone to predict the possible COVID-19 infections keeping data privacy at the most priority. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Distributed ledger; On-device learning; Secure aggregation; Secure by device consent; Training loop",,Conference Paper,"Final","",Scopus,2-s2.0-85140461282
"Miri Rostami S., Samet S., Kobti Z.","A Study of Blockchain-Based Federated Learning",2023,"Adaptation, Learning, and Optimization",1,"10.1007/978-3-031-11748-0_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139453149&doi=10.1007%2f978-3-031-11748-0_7&partnerID=40&md5=3489f0bfeb11103c417350fe0d2f3ff0","Federated Learning (FL) has made an essential step towards enhancing the privacy of traditional model training. However, gaps in the conventional FL framework make it vulnerable. FL is dealing with a double-edged sword by following the data minimization principle. Although FL provides privacy by design, it makes data verification challenging as no one can see others’ data. Therefore, participants may act dishonestly, increasing the risk of information leakage or performance degradation. It also lacks an incentive mechanism. Most recent studies leveraged blockchain technology to deal with privacy and security problems and address centralization and fairness issues. This study provides a comprehensive literature review on blockchain-based FL systems. Research and applications are presented, and future research directions are offered. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",,,Book Chapter,"Final","",Scopus,2-s2.0-85139453149
"Mo M., Ji S., Wang X., Mohiuddin G., Ren Y.","Privacy Data Management Mechanism Based on Blockchain and Federated Learning",2023,"Computers, Materials and Continua",,"10.32604/cmc.2023.028843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138990092&doi=10.32604%2fcmc.2023.028843&partnerID=40&md5=f5ee742e4682bfaeef44615146903201","Due to the extensive use of various intelligent terminals and the popularity of network social tools, a large amount of data in the field of medical emerged. How to manage these massive data safely and reliably has become an important challenge for the medical network community. This paper proposes a data management framework of medical network community based on Consortium Blockchain (CB) and Federated learning (FL), which realizes the data security sharing between medical institutions and research institutions. Under this framework, the data security sharing mechanism of medical network community based on smart contract and the data privacy protection mechanism based on FL and alliance chain are designed to ensure the security of data and the privacy of important data in medical network community, respectively. An intelligent contract system based on Keyed-Homomorphic Public Key (KH-PKE) Encryption scheme is designed, so that medical data can be saved in the CB in the form of ciphertext, and the automatic sharing of data is realized. Zero knowledge mechanism is used to ensure the correctness of shared data. Moreover, the zero-knowledge mechanism introduces the dynamic group signature mechanism of chosen ciphertext attack (CCA) anonymity, which makes the scheme more efficient in computing and communication cost. In the end of this paper, the performance of the scheme is analyzed from both asymptotic and practical aspects. Through experimental comparative analysis, the scheme proposed in this paper is more effective and feasible. © 2023 Tech Science Press. All rights reserved.","blockchain; Data management; federated learning","Blockchain; Cryptography; Data privacy; Network security; Block-chain; Community-based; Federated learning; Intelligent terminal; Large amounts of data; Management mechanisms; Mechanism-based; Medical networks; Network communities; Zero knowledge; Information management",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85138990092
"Yang Z., Shi Y., Zhou Y., Wang Z., Yang K.","Trustworthy Federated Learning via Blockchain",2023,"IEEE Internet of Things Journal",1,"10.1109/JIOT.2022.3201117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137571788&doi=10.1109%2fJIOT.2022.3201117&partnerID=40&md5=325be6f0d7c23cf5156709cef2489430","The safety-critical scenarios of artificial intelligence (AI), such as autonomous driving, Internet of Things, smart healthcare, etc., have raised critical requirements of trustworthy AI to guarantee the privacy and security with reliable decisions. As a nascent branch for trustworthy AI, federated learning (FL) has been regarded as a promising privacy preserving framework for training a global AI model over collaborative devices. However, security challenges still exist in the FL framework, e.g., Byzantine attacks from malicious devices, and model tampering attacks from malicious server, which will degrade or destroy the accuracy of trained global AI model. In this article, we shall propose a decentralized blockchain-based FL (B-FL) architecture by using a secure global aggregation algorithm to resist malicious devices, and deploying a practical Byzantine fault tolerance consensus protocol with high effectiveness and low energy consumption among multiple edge servers to prevent model tampering from the malicious server. However, to implement B-FL system at the network edge, multiple rounds of cross-validation in blockchain consensus protocol will induce long training latency. We thus formulate a network optimization problem that jointly considers bandwidth and power allocation for the minimization of long-term average training latency consisting of progressive learning rounds. We further propose to transform the network optimization problem as a Markov decision process and leverage the deep reinforcement learning (DRL)-based algorithm to provide high system performance with low computational complexity. Simulation results demonstrate that B-FL can resist malicious attacks from edge devices and servers, and the training latency of B-FL can be significantly reduced by the DRL-based algorithm compared with the baseline algorithms. © 2014 IEEE.","Blockchain; federated learning (FL); long-term latency minimization; resource allocation; trustworthy artificial intelligence (AI)","Blockchain; Deep learning; Energy utilization; Fault tolerance; Internet protocols; Learning algorithms; Markov processes; Network architecture; Network security; Reinforcement learning; Resource allocation; Safety engineering; Block-chain; Computational modelling; Consensus protocols; Federated learning; Long-term latency minimization; Minimisation; Resource management; Resources allocation; Trustworthy artificial intelligence; Wireless communications; Optimization",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85137571788
"He X., Chen Q., Tang L., Wang W., Liu T.","CGAN-Based Collaborative Intrusion Detection for UAV Networks: A Blockchain-Empowered Distributed Federated Learning Approach",2023,"IEEE Internet of Things Journal",,"10.1109/JIOT.2022.3200121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136685290&doi=10.1109%2fJIOT.2022.3200121&partnerID=40&md5=213abaf5a6e42ebdebd6574175fdeae2","Numerous resource-constrained Internet of Things (IoT) devices make the edge IoT consisting of unmanned aerial vehicles (UAVs) vulnerable to network intrusion. Therefore, it is critical to design an effective intrusion detection system (IDS). However, the differences in local data sets among UAVs show small samples and uneven distribution, further reducing the detection accuracy of network intrusion. This article proposes a conditional generative adversarial net (CGAN)-based collaborative intrusion detection algorithm with blockchain-empowered distributed federated learning to solve the above problems. This study introduces long short-term memory (LSTM) into the CGAN training to improve the effect of generative networks. Based on the feature extraction ability of LSTM networks, the generated data with CGAN are used as augmented data and applied in the detection and classification of intrusion data. Distributed federated learning with differential privacy ensures data security and privacy and allows collaborative training of CGAN models using multiple distributed data sets. Blockchain stores and shares the training models to ensure security when the global model's aggregation and updating. The proposed method has good generalization ability, which can greatly improve the detection of intrusion data. © 2014 IEEE.","Blockchain; conditional generative adversarial network (CGAN); distributed federated learning; intrusion detection system (IDS); long short-term memory (LSTM); unmanned aerial vehicle (UAV) network","Aircraft detection; Computer crime; Cybersecurity; Data privacy; Drones; Feature extraction; Generative adversarial networks; Internet of things; Intrusion detection; Long short-term memory; Network security; Block-chain; Collaborative Work; Conditional generative adversarial network; Distributed federated learning; Intrusion data; Intrusion Detection Systems; Intrusion-Detection; Network intrusions; UAV network; Blockchain",Article,"Final","",Scopus,2-s2.0-85136685290
"Alzubi J.A., Alzubi O.A., Singh A., Ramachandran M.","Cloud-IIoT-Based Electronic Health Record Privacy-Preserving by CNN and Blockchain-Enabled Federated Learning",2023,"IEEE Transactions on Industrial Informatics",1,"10.1109/TII.2022.3189170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134249881&doi=10.1109%2fTII.2022.3189170&partnerID=40&md5=a52cb990c5b26edac83f58b3f6da62a9","Industrial cloud computing and Internet of Things have transformed the healthcare industry with the rapid growth of distributed healthcare data. Security and privacy of healthcare data are crucial challenges in the healthcare industry. This article proposes a novel technique using deep learning and blockchain techniques for electronic health record privacy-preservation. The processed dataset classified normal and abnormal users using the convolutional neural network approach. Then, by using blockchain integrated with a cryptography-based federated learning module, the abnormal users have been processed and removed from the database along with the accessibility for the health records. The simulation has been done in the Python tool and experimental results show that the model's classification results and performance are better than other existing techniques. © 2005-2012 IEEE.","Blockchain-enabled federated learning; cloud-Industrial Internet of Things (IIoT); convolutional neural network (CNN); healthcare industry; privacy preservation","Computer software; Convolution; Data structures; Deep learning; Distributed computer systems; Neural networks; Privacy-preserving techniques; Records management; Block-chain; Blockchain-enabled federated learning; Cloud -IIoT; Collaborative Work; Convolutional neural network; Healthcare industry; Medical services; Privacy preservation; Security; Blockchain",Article,"Final","",Scopus,2-s2.0-85134249881
"Selvi K.T., Thamilselvan R.","Privacy-preserving healthcare informatics using federated learning and blockchain",2022,"Healthcare 4.0: Health Informatics and Precision Data Management",,"10.1201/9781003217435-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143873955&doi=10.1201%2f9781003217435-1&partnerID=40&md5=c1097d8248040d34cddc9bdde4ec1586",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85143873955
"Ngan Van L., Hoang Tuan A., Phan The D., Vo T.-K., Pham V.-H.","A Privacy-Preserving Approach for Building Learning Models in Smart Healthcare using Blockchain and Federated Learning",2022,"ACM International Conference Proceeding Series",,"10.1145/3568562.3568665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143836967&doi=10.1145%2f3568562.3568665&partnerID=40&md5=72631bb04508e4b41b28dd72c1c6f1e9","Nowadays, the amount of data generated from Internet of Things (IoT) devices is increasing, paving the way for the development of artificial intelligence (AI) applications. However, with the traditional AI approach, users sharing their raw data causes many concerns in terms of privacy leakage. There have been reports that there are privacy violations on private data of users. In the medical field, the creation of devices to help automatically diagnose the user's disease is gradually becoming a trend in the future. These devices help users monitor their own health, thereby reducing pressure on medical facilities that are often overloaded. However, the healthcare data of individuals will often be very sensitive and rarely shared by users. In addition, the profits generated from machine learning (ML) models mostly belong to the owners of that model. It also becomes an obstacle in encouraging users to share their data. In this article, we propose PriFL-Chain, a privacy-preservation framework to take advantage of data resources of data owners for training ML-based models, while ensuring the privacy of data owners. Specifically, we apply Differential privacy (DP) to federated learning (FL) to train ML models. Users just share the ML model trained on their data instead of sharing the raw data. Furthermore, the contribution activities of users in the system are recorded to the Blockchain to ensure transparency. We also leverage Mobile Edge Computing (MEC) and InterPlanetary File System (IPFS) to reduce the pressure on the central server and reduce data communication costs, making the system more flexible. Experimental results have demonstrated that the combined strategy of FL, Blockchain, IPFS, and MEC can help reduce the cost of training ML models, effectively protect privacy, and utilize data sources of diversity from the community. © 2022 ACM.","Blockchain; Differential Privacy; Federated learning; Mobile edge computing; Smart healthcare","Artificial intelligence; Cost reduction; Health care; Internet of things; Learning systems; Mobile edge computing; Privacy-preserving techniques; Sensitive data; Block-chain; Differential privacies; Federated learning; Filesystem; Learning models; Machine learning models; Privacy leakages; Privacy preserving; Smart healthcare; Training machines; Blockchain",Conference Paper,"Final","",Scopus,2-s2.0-85143836967
"Antal M., Mihailescu V., Cioara T., Anghel I.","Blockchain-Based Distributed Federated Learning in Smart Grid",2022,"Mathematics",,"10.3390/math10234499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143619322&doi=10.3390%2fmath10234499&partnerID=40&md5=cd16251c1431492e8ec6032cc63ea629","The participation of prosumers in demand-response programs is essential for the success of demand-side management in renewable-powered energy grids. Unfortunately, the engagement is still low due to concerns related to the privacy of their energy data used in the prediction processes. In this paper, we propose a blockchain-based distributed federated learning (FL) technique for energy-demand prediction that combines FL with blockchain to provide data privacy and trust features for energy prosumers. The privacy-sensitive energy data are stored locally at edge prosumer nodes without revealing it to third parties, with only the learned local model weights being shared using a blockchain network. The global federated model is not centralized but distributed and replicated over the blockchain overlay, ensuring the model immutability and provenance of parameter updates. We had proposed smart contracts to deal with the integration of local machine-learning prediction models with the blockchain, defining functions for the model parameters’ scaling and reduction of blockchain overhead. The centralized, local-edge, and blockchain-integrated models are comparatively evaluated for prediction of energy demand 24 h ahead using a multi-layer perceptron model and the monitored energy data of several prosumers. The results show only a slight decrease in prediction accuracy in the case of blockchain-based distributed FL with reliable data privacy support compared with the centralized learning solution. © 2022 by the authors.","blockchain; demand response; energy prediction; federated learning; machine learning; smart contracts; smart grid management",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85143619322
"Lv P., Xie L., Xu J., Wu X., Li T.","Misbehavior Detection in Vehicular Ad Hoc Networks Based on Privacy-Preserving Federated Learning and Blockchain",2022,"IEEE Transactions on Network and Service Management",1,"10.1109/TNSM.2022.3220779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141555269&doi=10.1109%2fTNSM.2022.3220779&partnerID=40&md5=0669e2b189397d809af584d69e747551","As an irreversible trend, connected vehicles have become increasingly more popular. They depend on the generation and sharing of data between vehicles to improve safety and efficiency of the transportation system. Due to the open feature of the vehicular ad hoc network (VANET), it is possible for dishonest and misbehaving vehicles to disrupt traffic by transmitting false information. In recent years, misbehavior detection systems have been developed to detect the malicious behaviour, and machine learning methods have been employed to make the detection more accurately. However, existing misbehavior detection systems typically require a single entity (e.g., a central server) for centralized data collection and training. Model updates are restricted due to data privacy and high overhead of data communication, which reduces the defensive capability of misbehavior detection systems. In this paper, we propose a blockchain-based federated learning scheme to detect misbehavior, which is trained collaboratively by coordinating multiple distributed edge devices while ensuring data security and privacy. In addition, to further protect the privacy of the model on the blockchain, differential privacy with the Gaussian mechanism is leveraged to provide strict privacy protection. Common data falsification attacks are studied in this paper. The experimental results show that our proposed scheme is feasible and effective, and demonstrate that our scheme achieves satisfied accuracy and efficiency. © 2022 IEEE.","blockchain; differential privacy; federated learning; misbehavior detection; Vehicular network","Blockchain; Data structures; Efficiency; Learning systems; Privacy-preserving techniques; Vehicles; Block-chain; Detection system; Differential privacies; Federated learning; Misbehavior detection; Security; Vehicular Adhoc Networks (VANETs); Vehicular networks; Vehicular ad hoc networks",Article,"Final","",Scopus,2-s2.0-85141555269
