"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Nigam A.; Behl A.; Pereira V.; Sangal S.","Nigam, Achint (57218377695); Behl, Abhishek (56554009500); Pereira, Vijay (37108422900); Sangal, Shreya (57465408700)","57218377695; 56554009500; 37108422900; 57465408700","Impulse purchases during emergency situations: exploring permission marketing and the role of blockchain","2023","Industrial Management and Data Systems","123","1","","155","187","32","6","10.1108/IMDS-12-2021-0799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130067686&doi=10.1108%2fIMDS-12-2021-0799&partnerID=40&md5=28130b47d36a1044add5a5458c2ededa","Purpose: The paper explores how consumer behavior for purchasing impulse products changed in the complex and disruptive (emergency) situation of the COVID-19 pandemic when the customer is shopping in-home and not visiting the offline stores in an emerging economy context. This paper further explores how digital transformations like the use of blockchain technology can aid offline/omnichannel retailers in reviving sales via permission marketing for impulse products. Design/methodology/approach: The authors followed a qualitative research design and conducted 24 personal interviews with millennials and 15 interviews with offline/omnichannel retailers from an emerging economy. The data collected were analyzed using the thematic analysis procedure. Findings: The authors discuss their findings under three themes – customers' conscious impulse buying during the pandemic, customers' unconscious impulse buying during the pandemic, and a viable solution for retailers in response to the pandemic. Practical implications: The authors suggest that marketers primarily from an offline/omnichannel store should adapt to permission marketing and use technologies like blockchain for the digital transformation of their marketing strategies. Doing so can help offline retailers minimize future damages in the retail sector during emergency situations. Originality/value: This paper is one of the first that explores how impulse – pure, suggestion, planned and reminder – purchases got affected during the COVID-19 pandemic disruptions in an emerging economy. This paper is also one of the first to explore the role of permission marketing and digital transformation by the use of blockchain in helping offline retailers in forming swift trust and practice trust-based marketing. © 2022, Emerald Publishing Limited.","Blockchain; Consumer trust; Digital transformation; Impulse buying; Permission marketing; Retailing","Consumer behavior; Sales; Block-chain; Consumer trust; Digital transformation; Emergency situation; Emerging economies; Impulse buying; Offline; Offline retailers; Permission marketing; Retailing; Blockchain","Article","Final","","Scopus","2-s2.0-85130067686"
"Bhaskaran K.; Ilfrich P.; Liffman D.; Vecchiola C.; Jayachandran P.; Kumar A.; Lim F.; Nandakumar K.; Qin Z.; Ramakrishna V.; Teo E.G.S.; Suen C.H.","Bhaskaran, Kumar (54392574100); Ilfrich, Peter (57202434430); Liffman, Dain (57202436356); Vecchiola, Christian (15520121600); Jayachandran, Praveen (22834876900); Kumar, Apurva (57214419948); Lim, Fabian (58589000700); Nandakumar, Karthik (8950463600); Qin, Zhengquan (57202435853); Ramakrishna, Venkatraman (7004433076); Teo, Ernie G.S. (8944057000); Suen, Chun Hui (55001344000)","54392574100; 57202434430; 57202436356; 15520121600; 22834876900; 57214419948; 58589000700; 8950463600; 57202435853; 7004433076; 8944057000; 55001344000","Double-blind consent-driven data sharing on blockchain","2018","Proceedings - 2018 IEEE International Conference on Cloud Engineering, IC2E 2018","","","","385","391","6","52","10.1109/IC2E.2018.00073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048318723&doi=10.1109%2fIC2E.2018.00073&partnerID=40&md5=51e87c6aed8588bfc24117e716f88eb5","Blockchains are designed for trustworthy and transparent execution of transactions involving multiple parties. An important class of applications requires data to be shared selectively among mutually anonymous transacting peers while retaining the tamper-resistant evidentiary and validation features of a blockchain. KYC validations of corporate customers by banks is one example, where both banks and customers benefit from sharing process and data on a blockchain network. However, sharing of confidential KYC data must be authorized by customers, and a bank-customer relationship must be kept secret from other banks in the network. In this paper, we describe the design and implementation of a smart contract for consent-driven and double-blind data sharing on the Hyperledger Fabric blockchain platform. We show how a KYC application was built around this model to address the needs of the banks while meeting regulatory requirements. © 2018 IEEE.","Access control; Blockchain; Consent; Cryptography; Double-blind; KYC; Privacy; Smart contract","Access control; Cryptography; Data privacy; Public relations; Sales; Consent; Corporate customers; Customer relationships; Design and implementations; Double-blind; Regulatory requirements; Smart contracts; Tamper resistant; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85048318723"
"Grodzicka H.; Kedziora M.; Madeyski L.","Grodzicka, Hanna (57216418094); Kedziora, Michal (49963961800); Madeyski, Lech (14045220900)","57216418094; 49963961800; 14045220900","Security and Scalability in Private Permissionless Blockchain: Problems and Solutions Leading to Creating Consent-as-a-Service (CaaS) Deployment","2021","Communications in Computer and Information Science","1463","","","278","289","11","4","10.1007/978-3-030-88113-9_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116882243&doi=10.1007%2f978-3-030-88113-9_22&partnerID=40&md5=b67c8303787628b04cb95afb3d6e9c0a","The purpose of this paper is to analyze the security and scalability problems occurring in private permissionless blockchain systems. The consent management system (CMS) based upon Hyperledger Fabric (HLF), was implemented in the selected blockchain-as-a-service (BaaS), and therefore led to consent-as-a-service (CaaS) deployment. The experiments results assessed to what level the network transaction throughput is affected by changing the world state size, which indicates scalability of chosen blockchain system implementation. Additional experiments with the IBM Blockchain Platform and the FastFabric framework (a HLF modification) were performed to prove the possibility to achieve transaction throughput comparable to the Ethereum blockchain network. © 2021, Springer Nature Switzerland AG.","Blockchain scalability; Blockchain security; Permissionless blockchain","Blockchain; Block-chain; Blockchain scalability; Blockchain security; Permissionless blockchain; Problems and Solutions; Security problems; Service deployment; Transaction throughput; Scalability","Conference paper","Final","","Scopus","2-s2.0-85116882243"
"Azaria A.; Ekblaw A.; Vieira T.; Lippman A.","Azaria, Asaph (57188876817); Ekblaw, Ariel (57191583173); Vieira, Thiago (57191574156); Lippman, Andrew (26643472800)","57188876817; 57191583173; 57191574156; 26643472800","MedRec: Using blockchain for medical data access and permission management","2016","Proceedings - 2016 2nd International Conference on Open and Big Data, OBD 2016","","","7573685","25","30","5","1530","10.1109/OBD.2016.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991717011&doi=10.1109%2fOBD.2016.11&partnerID=40&md5=84b3e1526ec928063ea42daa8552b21a","Years of heavy regulation and bureaucratic inefficiency have slowed innovation for electronic medical records (EMRs). We now face a critical need for such innovation, as personalization and data science prompt patients to engage in the details of their healthcare and restore agency over their medical data. In this paper, we propose MedRec: a novel, decentralized record management system to handle EMRs, using blockchain technology. Our system gives patients a comprehensive, immutable log and easy access to their medical information across providers and treatment sites. Leveraging unique blockchain properties, MedRec manages authentication, confidentiality, accountability and data sharing - crucial considerations when handling sensitive information. A modular design integrates with providers' existing, local data storage solutions, facilitating interoperability and making our system convenient and adaptable. We incentivize medical stakeholders (researchers, public health authorities, etc.) to participate in the network as blockchain ""miners"". This provides them with access to aggregate, anonymized data as mining rewards, in return for sustaining and securing the network via Proof of Work. MedRec thus enables the emergence of data economics, supplying big data to empower researchers while engaging patients and providers in the choice to release metadata. The purpose of this short paper is to expose, prior to field tests, a working prototype through which we analyze and discuss our approach. © 2016 IEEE.","access control; cryptographic protocols; distributed information systems; electronic medical records","Access control; Digital storage; Distributed computer systems; Electronic document exchange; Interoperability; Medical computing; Medical information systems; Patient treatment; Cryptographic protocols; Distributed information systems; Electronic medical record; Electronic medical records (EMRs); Medical information; Personalizations; Record management systems; Sensitive informations; Big data","Conference paper","Final","","Scopus","2-s2.0-84991717011"
"Pani F.E.; Ibba G.; Marchesi M.; Pinna A.; Porru S.; Tonelli R.; Valcalda B.","Pani, Filippo Eros (36499702800); Ibba, Giacomo (57211494180); Marchesi, Michele (7005947166); Pinna, Andrea (37059426400); Porru, Simone (56411788900); Tonelli, Roberto (7004058057); Valcalda, Bartolomeo (57211482827)","36499702800; 57211494180; 7005947166; 37059426400; 56411788900; 7004058057; 57211482827","Blockchain certification and granular editing permissions in document management system","2019","IC3K 2019 - Proceedings of the 11th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management","3","","","299","306","7","0","10.5220/0008349902990306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074166162&doi=10.5220%2f0008349902990306&partnerID=40&md5=f6e43ed838c88c11dbedcae78a881bd7","Ever-growing digitalization and increasingly competitive markets are driving industry and the public sector into fast-paced transformation. Competitive advantage is being acquired through technology investments made possible by previously unavailable resources, freed by process automation, simplification, and rationalization. Under these contingencies, we propose an innovative document management platform, featuring a collaborative document editing technique and a blockchain certification procedure. The two proposing parties - a private company and an academic organization - mutually agreed on employing open-source technologies as a strategic means to promote software reuse and developer communities' support, and consequently reduce implementation costs and ensure interoperability. Copyright © 2019 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved","Blockchain; Collaborative Editing; Decentralized Applications; Document Management; Smart Contract","Competition; Computer software reusability; Information services; Knowledge engineering; Knowledge management; Open source software; Open systems; Technology transfer; Collaborative Editing; Competitive advantage; Competitive markets; Document management; Document management systems; Implementation cost; Open-source technology; Technology investments; Blockchain","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85074166162"
"Manimaran S.; Sastry V.N.; Gopalan N.P.","Manimaran, S. (57609682500); Sastry, V.N. (9279543900); Gopalan, N.P. (8333297000)","57609682500; 9279543900; 8333297000","BPLMSBT: Blockchain-Based Permission List for Mitigating the Sensor-Based Threats on Smartphones","2022","IEEE Sensors Journal","22","11","","11075","11087","12","0","10.1109/JSEN.2022.3167893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128673715&doi=10.1109%2fJSEN.2022.3167893&partnerID=40&md5=013ba13737b48da61c1e417ea9e3d36f","In smartphones, sensors are fundamental components to sensing-enabled mobile activities and applications. Mobile applications and websites access the sensors and use them in a variety of ways. Permission is required to access permission-imposed sensors, while users can access no-permission imposed sensors directly without any permission by using the generic sensor application programming interface (API). An attacker targets these sensors and makes smartphones vulnerable at the application and network level. Attackers gain access to sensor information and use it for various purposes like identifying personal identification numbers (PINs) and stealing personal information. This paper presents BPLMSBT, a novel Blockchain-based permission list for mitigating smartphone sensor-based threats by allowing benign users to access sensors through various channels. The permission list contains benign sources with sensor access permissions, while the blacklist contains malicious sources that access the sensors. Blockchain avoids the risks of centralized lists and maintains the list's integrity through the immutability feature. Experimental results indicate that the proposed defence mechanism consumes less overhead and is more efficient. An informal security analysis proved that the BPLMSBT is capable of protecting against various attacks.  © 2001-2012 IEEE.","blacklist; intrusion; permission list; security; Sensors; threats","Application programming interfaces (API); Blockchain; Intrusion detection; Motion analysis; Blacklist; Block-chain; Blocklist; Intelligent sensors; Intrusion; Motion detection; Permission list; Security; Smart phones; Threat; Smartphones","Article","Final","","Scopus","2-s2.0-85128673715"
"Mukhopadhyay I.; Ghosh A.","Mukhopadhyay, Indraneel (56652698500); Ghosh, Abir (57220106873)","56652698500; 57220106873","Blockchain-Based Framework for Managing Customer Consent in Open Banking","2021","Lecture Notes in Networks and Systems","163","","","77","90","13","2","10.1007/978-981-15-9317-8_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096901946&doi=10.1007%2f978-981-15-9317-8_3&partnerID=40&md5=5e28f89fb1730003abecb1b4bdb1e903","Customer consent is the most important aspect in open banking. How it can be made transparent and effective, lots of areas have already been explored and also explorations are in progress. Bringing transparency to customers and to the whole process is not very easy to achieve especially when multiple parties are involved and they are competitors to some extent in their areas of operations and service offerings to customers. Blockchain technology can be an enabler to bring in the transparency in the process and can help to get the trust of customers which is absolutely essential to make the whole idea of open banking effective. Consortium Blockchain will be best fitted to have maximum efficiency. Regulators need to bring all the interested parties under one framework which will track each and every attribute of customer data and provide the required transparency to customers. The framework provides details to the customer about the rating of banks or any other Third-Party providers on a real-time basis which helps customer to take an instant informed decision about providing or withdrawing consent. © 2021, Springer Nature Singapore Pte Ltd.","Banks; Blockchain; Customer consent; Open banking; Permissioned blockchain; Regulator; Third-party providers","","Book chapter","Final","","Scopus","2-s2.0-85096901946"
"Khalid M.H.; Murtaza M.; Saeed A.; Raza M.","Khalid, Muhammad Hassam (57222530695); Murtaza, Mohsin (57216355136); Saeed, Ather (57215585921); Raza, Mansoor (57216342191)","57222530695; 57216355136; 57215585921; 57216342191","Proposing 2-tier Architecture for Permission-ed and Permission-less Blockchain Consensus Algorithms Based on Voting System","2020","CITISIA 2020 - IEEE Conference on Innovative Technologies in Intelligent Systems and Industrial Applications, Proceedings","","","9371832","","","","2","10.1109/CITISIA50690.2020.9371832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103029219&doi=10.1109%2fCITISIA50690.2020.9371832&partnerID=40&md5=c1d3d60a26ba1425ca05beb92b0c8144","With the rapid use of internet technology, security and performance are always at risk. The data on the internet can be compromised and the performance can be bottlenecked. The solution to this problem is the blockchain technology. Reason for choosing this field is because blockchain is a new technology and now it is one of the most demanding field in the IT sector. Blockchain is based on peer-to-peer topology containing connected nodes. Each node has cryptographic hash of the previous node (no malicious or unauthorized node can enter the linked nodes), timestamp and relevant data. Blockchain provides resistance against the unwanted interference and modification of the data and each node has separate processing power thus enhancing security and performance of the host network. Permission-ed and Permission-less blockchain have their own properties and limitations and they can be used in different scenarios. In permission-less blockchain the nodes can be public, anyone can add nodes to increase the performance (Bitcoin), while permission-ed blockchain is used within enterprise or between enterprises where the nodes are private and new nodes need authorization to be added in link nodes. The aim of this paper is to study the permission-ed and permission less blockchain, their similarities and differences, some of the consensus algorithms they use. Outcome of the paper will be understanding of some of the consensus algorithms and proposing a two-tier architecture which will contain voting based algorithm for enhanced performance. © 2020 IEEE.","Architecture; Blockchain; Consensus algorithm; Permission-ed; Permission-less","Computer architecture; Intelligent systems; Network architecture; Consensus algorithms; Internet technology; Link nodes; Peer-to-peer topology; Processing power; Security and performance; Two-tier architecture; Voting systems; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85103029219"
"Ameyed D.; Jaafar F.; Charette-Migneault F.; Cheriet M.","Ameyed, Darine (57136841100); Jaafar, Fehmi (54684236700); Charette-Migneault, Francis (57213194211); Cheriet, Mohamed (56216876600)","57136841100; 54684236700; 57213194211; 56216876600","Blockchain Based Model for Consent Management and Data Transparency Assurance","2021","Proceedings - 2021 21st International Conference on Software Quality, Reliability and Security Companion, QRS-C 2021","","","","1050","1059","9","1","10.1109/QRS-C55045.2021.00159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140924097&doi=10.1109%2fQRS-C55045.2021.00159&partnerID=40&md5=6929069279673d258707b9488674325b","Data privacy issues and regulations are on the rise. Privacy and transparency concerns are quickly defining a new era in data management and service operation across applications, platforms and industries. With a continuous flow of revisited privacy laws worldwide, adopted in different regulations such as the General Data Protection Regulation (GDPR), the urge to enhance transparency, and provide efficient and dynamic control over individual consent to use personal data, has peaked. Importantly, data-centered service providers must implement tools and integrate frameworks that are accessible, with reliable updates and viability assurances across the entire information life cycle. Data transparency and consent management platforms become then an essential tool that allows service providers to communicate their privacy practices and build up users' trust, while giving consumers enhanced control over their privacy preferences. In this context, we present a consent management system based on multiple blockchains. We assure a scalable user-friendly solution using a web-based blockchain model, performing a decentralized solution and a separation between the private data and consent data for more security and privacy assurance.  © 2021 IEEE.","Blockchain; data owner-ship; non-repudiation; privacy; transparency","Blockchain; Data privacy; Information management; Laws and legislation; Life cycle; Block-chain; Consent managements; Data owner-ship; Management operation; Non repudiation; Privacy; Privacy issue; Privacy regulation; Service operations; Service provider; Transparency","Conference paper","Final","","Scopus","2-s2.0-85140924097"
"Lee A.R.; Kim M.G.; Won K.J.; Kim I.K.; Lee E.","Lee, Ah Ra (57207456585); Kim, Min Gyu (57201126946); Won, Kyung Jae (57216703520); Kim, Il Kon (14919454400); Lee, Eunjoo (56502620400)","57207456585; 57201126946; 57216703520; 14919454400; 56502620400","Coded Dynamic Consent framework using blockchain for healthcare information exchange","2020","Proceedings - 2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020","","","9313330","1047","1050","3","3","10.1109/BIBM49941.2020.9313330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100338315&doi=10.1109%2fBIBM49941.2020.9313330&partnerID=40&md5=c29209fe05e832e021190d6e61ac5528","As personalized digital healthcare is attracting attention, recognition of data sovereignty has been essential in healthcare data exchange. Dynamic consent is a new approach that patients enable to tailor and manage their consent. It expands patients' autonomy by giving the right to intervene in the healthcare data exchange process. This study proposes a Coded Dynamic Consent framework based on blockchain. We developed five design criteria to support dynamic consent and represent consent preferences as a coded format. The framework ensures data sovereignty and autonomy of a data provider so that patient-centered healthcare data exchange environment could be achieved. © 2020 IEEE.","blockchain; data sovereignty; dynamic consent; healthcare information exchange; patient-centered healthcare","Bioinformatics; Blockchain; Electronic data interchange; Design criteria; Dynamic consents; Exchange process; Information exchanges; New approaches; Patient-centered healthcare; Health care","Conference paper","Final","","Scopus","2-s2.0-85100338315"
"Asad N.A.; Elahi M.T.; Hasan A.A.; Yousuf M.A.","Asad, Nafiz Al (57216688179); Elahi, Md. Tausif (57222032600); Hasan, Abdullah Al (57222013666); Yousuf, Mohammad Abu (57188663159)","57216688179; 57222032600; 57222013666; 57188663159","Permission-based blockchain with proof of authority for secured healthcare data sharing","2020","2020 2nd International Conference on Advanced Information and Communication Technology, ICAICT 2020","","","9333488","35","40","5","30","10.1109/ICAICT51780.2020.9333488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100960463&doi=10.1109%2fICAICT51780.2020.9333488&partnerID=40&md5=8494056ed64cba48c73b8d684f835356","Electronic exchange of healthcare data between hospitals and institutions is limited by privacy, interoperability, and dependency on centralized data management systems. Sharing patients' data without their consent is a violation of the law and bears the risk of identity hack and misuse of healthcare data. Not all healthcare institutions follow a similar structure and semantic to store patients' data, making it almost impossible to share the data for research and better patient management. Centralized data management system is vulnerable to cyberattacks and data theft. It also creates lock-in problems for patients intending to migrate their data to any other institute. In this paper, a permissioned Blockchain with Proof of Authority (PoA) technology has been proposed that guarantees data privacy, data owner's control on sharing their sensitive information, and effective distributed management of healthcare records. It also addresses the importance of managing medical records in an interoperable manner, and the use of de facto standards such as Fast Healthcare Interoperable Resources (FHIR), which helps the meaningful exchange of healthcare records among all participants. The work is based on simulating the outcome of using PoA to understand the efficacy of this consensus algorithm when using Blockchain technology for secure data sharing. © 2020 IEEE.","Blockchain; FHIR; Healthcare; Interoperability; PoA; Privacy; Security","Blockchain; Crime; Health care; Information management; Interoperability; Privacy by design; Semantics; Consensus algorithms; Data management system; De facto standard; Distributed management; Healthcare institutions; Healthcare Interoperability; Patient management; Sensitive informations; Data Sharing","Conference paper","Final","","Scopus","2-s2.0-85100960463"
"Roman-Martinez I.; Calvillo-Arbizu J.; Mayor-Gallego V.J.; Madinabeitia-Luque G.; Estepa-Alonso A.J.; Estepa-Alonso R.M.","Roman-Martinez, Isabel (22942167400); Calvillo-Arbizu, Jorge (25026792100); Mayor-Gallego, Vicente J. (57208739076); Madinabeitia-Luque, German (22941366700); Estepa-Alonso, Antonio J. (22333783700); Estepa-Alonso, Rafael M. (22333662200)","22942167400; 25026792100; 57208739076; 22941366700; 22333783700; 22333662200","Blockchain-Based Service-Oriented Architecture for Consent Management, Access Control, and Auditing","2023","IEEE Access","11","","","12726","12740","14","2","10.1109/ACCESS.2023.3242605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148444507&doi=10.1109%2fACCESS.2023.3242605&partnerID=40&md5=a347e441ce0c63c024ad67c84e1ed48d","Continuity of care requires the exchange of health information among organizations and care teams. The EU General Data Protection Regulation (GDPR) establishes that subject of care should give explicit consent to the treatment of her personal data, and organizations must obey the individual's will. Nevertheless, few solutions focus on guaranteeing the proper execution of consents. We propose a service-oriented architecture, backed by blockchain technology, that enables: (1) tamper-proof and immutable storage of subject of care consents; (2) a fine-grained access control for protecting health data according to consents; and (3) auditing tasks for supervisory authorities (or subjects of care themselves) to assess that healthcare organizations comply with GDPR and granted consents. Standards for health information exchange and access control are adopted to guarantee interoperability. Access control events and the subject of care consents are maintained on a blockchain, providing a trusted collaboration between organizations, supervisory authorities, and individuals. A prototype of the architecture has been implemented as a proof of concept to evaluate the performance of critical components. The application of subject of care consent to control the treatment of personal health data in federated and distributed environments is a pressing concern. The experimental results show that blockchain can effectively support sharing consent and audit events among healthcare organizations, supervisory authorities, and individuals.  © 2013 IEEE.","Blockchain; business process management (BPM); consent management; fast healthcare information resources (FHIR); general data protection regulation (GDPR); service-oriented architecture (SOA)","Access control; Digital storage; Health care; Human resource management; Information management; Information services; Service oriented architecture (SOA); Block-chain; Consent managements; Fast healthcare information resource; General data protection regulation; General data protection regulations; Healthcare; Information resource; Service-oriented architecture; Soa (serviceoriented architecture); Supervisory authority; Blockchain","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148444507"
"Hu C.; Li C.; Zhang G.; Lei Z.; Shah M.; Zhang Y.; Xing C.; Jiang J.; Bao R.","Hu, Chaochen (57391412000); Li, Chao (56352677400); Zhang, Guigang (24832541500); Lei, Zhiwei (57208288571); Shah, Mira (57212477364); Zhang, Yong (56004332100); Xing, Chunxiao (55625403700); Jiang, Jinpeng (57392186200); Bao, Renyi (57391798000)","57391412000; 56352677400; 24832541500; 57208288571; 57212477364; 56004332100; 55625403700; 57392186200; 57391798000","CrowdMed-II: a blockchain-based framework for efficient consent management in health data sharing","2022","World Wide Web","25","3","","1489","1515","26","5","10.1007/s11280-021-00923-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122029942&doi=10.1007%2fs11280-021-00923-1&partnerID=40&md5=530a34aeabe3a1e977f166a7e38e0c29","The healthcare industry faces serious problems with health data. Firstly, health data is fragmented and its quality needs to be improved. Data fragmentation means that it is difficult to integrate the patient data stored by multiple health service providers. The quality of these heterogeneous data also needs to be improved for better utilization. Secondly, data sharing among patients, healthcare service providers and medical researchers is inadequate. Thirdly, while sharing health data, patients’ right to privacy must be protected, and patients should have authority over who can access their data. In traditional health data sharing system, because of centralized management, data can easily be stolen, manipulated. These systems also ignore patient’s authority and privacy. Researchers have proposed some blockchain-based health data sharing solutions where blockchain is used for consensus management. Blockchain enables multiple parties who do not fully trust each other to exchange their data. However, the practice of smart contracts supporting these solutions has not been studied in detail. We propose CrowdMed-II, a health data management framework based on blockchain, which could address the above-mentioned problems of health data. We study the design of major smart contracts in our framework and propose two smart contract structures. We also introduce a novel search contract for searching patients in the framework. We evaluate their efficiency based on the execution costs on Ethereum. Our design improves on those previously proposed, lowering the computational costs of the framework. This allows the framework to operate at scale and is more feasible for widespread adoption. © 2021, The Author(s).","Blockchain; Consent management; Health data; Smart contracts","Data privacy; Health care; Hospital data processing; Information management; Block-chain; Consent managements; Data fragmentation; Data Sharing; Health data; Health services; Healthcare industry; Heterogeneous data; Patient data; Service provider; Smart contract","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85122029942"
"de Sousa H.R.; Pinto A.","de Sousa, Hélder Ribeiro (57204719765); Pinto, António (9747183700)","57204719765; 9747183700","Blockchain based informed consent with reputation support","2020","Advances in Intelligent Systems and Computing","1010","","","54","61","7","2","10.1007/978-3-030-23813-1_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068607648&doi=10.1007%2f978-3-030-23813-1_7&partnerID=40&md5=0a62b558be72340bd6f3247aae32c113","Digital economy relies on global data exchange flows. On May 25th 2018 the GDPR came into force, representing a shift in data protection legislation by tightening data protection rules. This paper introduces an innovative solution that aims to diminish the burden resulting from new regulatory demands on all stakeholders. The presented solution allows the data controller to collect the consent, of a European citizen, in accordance to the GDPR and persist proof of said consent on public a blockchain. On the other hand, the data subject will be able to express his consent conveniently through his smartphone and evaluate the data controller’s performance. The regulator’s role was also contemplated, meaning that he can leverage certain system capabilities specifically designed to gauge the status of the relationships between data subjects and data controllers. © Springer Nature Switzerland AG 2020.","Blockchain; Ethereum platform; GDPR; Informed consent; Reputation systems","Controllers; Electronic data interchange; Laws and legislation; Data controllers; Data subjects; Digital economy; GDPR; Informed consent; Innovative solutions; Reputation systems; System capabilities; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85068607648"
"Gao Y.; Zhang A.; Wu S.; Chen J.","Gao, Ya (57562239500); Zhang, Aiqing (55504182200); Wu, Shu (57562239400); Chen, Jindou (57488679700)","57562239500; 55504182200; 57562239400; 57488679700","Blockchain-based multi-hop permission delegation scheme with controllable delegation depth for electronic health record sharing","2022","High-Confidence Computing","2","4","100084","","","","1","10.1016/j.hcc.2022.100084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140445025&doi=10.1016%2fj.hcc.2022.100084&partnerID=40&md5=fe4fa25bc45933b2fa8710b645ed0855","Permission delegation has become a new way for data sharing by delegating the authorized permission to other users. A flexible authorization model with strict access control policies is promising for electronic health record (EHR) sharing with security. In this paper, a blockchain-based multi-hop permission delegation scheme with controllable delegation depth for EHR sharing has been presented. We use the interplanetary file system (IPFS) for storing the original EHRs. Smart contracts and proxy re-encryption technology are implemented for permission delegation. In order to ensure data security, we use attribute-based encryption to provide fine-grained access control. Additionally, blockchain is used to achieve traceability and immutability. We deploy smart contracts so that the delegation depth can be set by delegators. Security analysis of the proposed protocol shows that our solution meets the designed goals. Finally, we evaluate the proposed algorithm and implement the scheme on the Ethereum test chain. Our scheme outperforms the competition in terms of performance, according to the results of our experiments. © 2022","Access control; Blockchain; Data security; Permission delegation; Smart contract","Authorization; Blockchain; Cryptography; Distributed ledger; eHealth; Electronic document exchange; Records management; Access control policies; Authorization model; Block-chain; Data Sharing; Electronic health; Filesystem; Health records; Multi-hops; Permission delegation; Proxy re encryptions; Smart contract","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140445025"
"Varshini Naik K.; Vijaya Murari T.; Manoj T.","Varshini Naik, K. (58141890400); Vijaya Murari, T. (57216272792); Manoj, T. (57549908800)","58141890400; 57216272792; 57549908800","A Blockchain Based Patient Consent Management Technique for Electronic Health Record Sharing","2022","7th IEEE International Conference on Recent Advances and Innovations in Engineering, ICRAIE 2022 - Proceedings","","","","214","219","5","0","10.1109/ICRAIE56454.2022.10054337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150017932&doi=10.1109%2fICRAIE56454.2022.10054337&partnerID=40&md5=e23de8de4306eec93a385e3509861782","Rapid advancements to digitization in Electronic Health Records (EHR) systems and record sharing have happened at the cost of uncontrolled access and insecure control to the patient's sensitive health information. This is due to existing centralized systems and intermediaries sharing the medical records with multiple stakeholders causing single point of failure, data tampering, correlation attack, loss of privacy and transparency. Besides this, patient's consent for personal health record sharing is neglected or restricted to one-time consent policy that fails to produce tamper-proof evidence in an irrefutable way. With the emergence of promising distributed ledger technology like blockchain makes it easy to realize the trust factors required for patient-controlled record sharing without relying on a centralized third parties.This work proposes a smart contract based blockchain solution/framework for patient consent management to achieve a secure health record exchange and its access in automated way. The proposed solution is implemented on a public blockchain called as Ethereum. The security analysis of smart contracts for potential vulnerabilities is conducted using auditing tools like Oyente and Surya. Furthermore, the implemented solution is evaluated in terms of throughput, average latency using a Hyperledger Caliper benchmarking tool. Finally, the security and performance analysis illustrates that proposed framework is suitable for real-world patient-centric health record sharing in EHRs.  © 2022 IEEE.","Blockchain; Consent Management; Electronic Health Record; Ethereum; Smart Contract","Access control; Blockchain; Distributed ledger; eHealth; Ethereum; Records management; Block-chain; Centralized systems; Consent managements; Digitisation; Electronic health; Electronic health record; Health informations; Health records; Management techniques; Security analysis; Smart contract","Conference paper","Final","","Scopus","2-s2.0-85150017932"
