Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Journal,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Notes,Series
8.0,"HR De Sousa, A Pinto",Blockchain based informed consent with reputation support,2020.0,Blockchain and Applications: International …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-23813-1_7,"https://scholar.google.com/scholar?cites=1985058852638781462&as_sdt=2005&sciodt=0,5&hl=en",49.0,2023-11-17 09:14:23,,10.1007/978-3-030-23813-1_7,,,,,,,8.0,2.67,4.0,2.0,3.0,"… The presented solution allows the data controller to collect the consent, of a … said consent on public a blockchain. On the other hand, the data subject will be able to express his consent …",,"https://scholar.google.com/scholar?q=related:FnDHWYJYjBsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"I Mukhopadhyay, A Ghosh",Blockchain-based framework for managing customer consent in open banking,2021.0,"The"" Essence"" of Network Security: An End-to …",Springer,https://link.springer.com/chapter/10.1007/978-981-15-9317-8_3,"https://scholar.google.com/scholar?cites=5782434679926751393&as_sdt=2005&sciodt=0,5&hl=en",50.0,2023-11-17 09:14:23,,10.1007/978-981-15-9317-8_3,,,,,,,10.0,5.0,5.0,2.0,2.0,"… Blockchain-based solutions for consent management, let’s understand about Blockchain … and implementation of a permissioned Blockchain third-party consent management system, a …",,"https://scholar.google.com/scholar?q=related:oQDvabRVP1AJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,"M Alhajri, A Salehi Shahraki, C Rudolph",Privacy of Fitness Applications and Consent Management in Blockchain,2022.0,Proceedings of the 2022 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3511616.3513100,"https://scholar.google.com/scholar?cites=11038574226400796378&as_sdt=2005&sciodt=0,5&hl=en",53.0,2023-11-17 09:14:23,,10.1145/3511616.3513100,,,,,,,3.0,3.0,1.0,3.0,1.0,"… these consent-management privacy concerns. We propose a blockchainbased consent … and legally compliant system that manages user consent dynamically around the sharing, collect…",https://dl.acm.org/doi/pdf/10.1145/3511616.3513100,"https://scholar.google.com/scholar?q=related:2t5mJ8bkMJkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"H Grodzicka, M Kedziora, L Madeyski",Security and scalability in private permissionless blockchain: Problems and solutions leading to creating Consent-as-a-Service (CaaS) deployment,2021.0,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-88113-9_22,"https://scholar.google.com/scholar?cites=10553615333376323653&as_sdt=2005&sciodt=0,5&hl=en",54.0,2023-11-17 09:14:23,,10.1007/978-3-030-88113-9_22,,,,,,,4.0,2.0,1.0,3.0,2.0,"… occurring in private permissionless blockchain systems. The consent management system (… implemented in the selected blockchain-as-a-service (BaaS), and therefore led to consent-as-…",,"https://scholar.google.com/scholar?q=related:RfAC8jr5dZIJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"HR de Sousa, A Pinto",On the feasibility of blockchain for online surveys with reputation and informed consent support,2019.0,Ambient Intelligence–Software and Applications …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01746-0_37,"https://scholar.google.com/scholar?cites=9163318815900737342&as_sdt=2005&sciodt=0,5&hl=en",70.0,2023-11-17 09:14:23,,10.1007/978-3-030-01746-0_37,,,,,,,5.0,1.25,3.0,2.0,4.0,"… proof of the user’s consent for every single operation comprising their … consent should be stored in a blockchain. By being a distributed, immutable and verifiable ledger, the blockchain …",,"https://scholar.google.com/scholar?q=related:Pp9q6emlKn8J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"A Ghosh, I Mukhopadhyay, S Chakraborty",ConsenTrack—Blockchain Based Framework for Open Banking Consent Data Tracking,2023.0,Human-Centric Intelligent …,Springer,https://link.springer.com/article/10.1007/s44230-023-00023-5,,72.0,2023-11-17 09:14:23,HTML,10.1007/s44230-023-00023-5,,,,,,,0.0,0.0,0.0,3.0,1.0,… Blockchain … blockchain based framework which can be easily integrated into banks’ existing technology landscape thus becomes need of the hour. Consortium permissioned blockchain …,https://link.springer.com/article/10.1007/s44230-023-00023-5,"https://scholar.google.com/scholar?q=related:7z2V3JKMKdkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"R Zhao, L Wu, Z Chen, M Tang, W Lu, F Xue",A Study on Protocols of Cross-Chain Data Synchronization for Permission Blockchain for Construction Management,2021.0,International Symposium on …,Springer,https://link.springer.com/chapter/10.1007/978-981-19-5256-2_85,"https://scholar.google.com/scholar?cites=17355456194310995602&as_sdt=2005&sciodt=0,5&hl=en",78.0,2023-11-17 09:14:23,,10.1007/978-981-19-5256-2_85,,,,,,,4.0,2.0,1.0,6.0,2.0,… Digital objects can be securely moved from the first blockchain to the second blockchain … the second blockchain to the first blockchain at a later period [23]. The first blockchain is known …,https://frankxue.com/pdf/zhao21protocol.pdf,"https://scholar.google.com/scholar?q=related:kn7CoHT32vAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,"L Zhang, H Kan, H Huang",Patient-centered cross-enterprise document sharing and dynamic consent framework using consortium blockchain and ciphertext-policy attribute-based encryption,2022.0,Proceedings of the 19th ACM International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3528416.3530228,"https://scholar.google.com/scholar?cites=15655913455922508779&as_sdt=2005&sciodt=0,5&hl=en",80.0,2023-11-17 09:14:23,,10.1145/3528416.3530228,,,,,,,2.0,2.0,1.0,3.0,1.0,"… Because of its transparency, blockchain is a powerful system for managing storage and … consortium blockchain and CP-ABE, we propose a patient-centered XDS and a dynamic consent …",https://dl.acm.org/doi/pdf/10.1145/3528416.3530228,"https://scholar.google.com/scholar?q=related:6_OE7lb6RNkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"S Gajek, M Lewandowsky","Trustless, censorship-resilient and scalable votings in the permission-based blockchain model",2021.0,"… Workshops, Warsaw, Poland, August 24–25 …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-71593-9_5,"https://scholar.google.com/scholar?cites=4203454258655799980&as_sdt=2005&sciodt=0,5&hl=en",83.0,2023-11-17 09:14:23,,10.1007/978-3-030-71593-9_5,,,,,,,4.0,2.0,2.0,2.0,2.0,"Voting systems are the tool of choice when it comes to settle an agreement of different opinions. We propose a solution for a trustless, censorship-resilient and scalable electronic voting …",https://eprint.iacr.org/2019/617.pdf,"https://scholar.google.com/scholar?q=related:rCrInGCrVToJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"KY Huh, S Jeong, SJ Moon, MJ Kim, W Yang, ...",METORY: Development of a Demand-Driven Blockchain-Based Dynamic Consent Platform Tailored for Clinical Trials,2022.0,Frontiers in …,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fmed.2022.837197/full,"https://scholar.google.com/scholar?cites=3273241397490872984&as_sdt=2005&sciodt=0,5&hl=en",86.0,2023-11-17 09:14:23,HTML,10.3389/fmed.2022.837197,,,,,,,1.0,1.0,0.0,6.0,1.0,… consent concept intensified the data integrity issue in clinical trials. Incorporating blockchain technology into a dynamic consent … We developed a blockchain-based dynamic consent …,https://www.frontiersin.org/articles/10.3389/fmed.2022.837197/full,"https://scholar.google.com/scholar?q=related:mPKLabXjbC0J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,"T Ravi Shanker Reddy, BM Beena",AI Integrated Blockchain Technology for Secure Health Care—Consent-Based Secured Federated Transfer Learning for Predicting COVID-19 on Wearable Devices,2022.0,"… Proceedings of ICICC 2022, Volume 1",Springer,https://link.springer.com/chapter/10.1007/978-981-19-2821-5_30,,97.0,2023-11-17 09:14:23,,10.1007/978-981-19-2821-5_30,,,,,,,0.0,0.0,0.0,2.0,1.0,… that has been done these days on how blockchain can help to securely track and transfer … a consent-based personal health device registration mechanism on a blockchain consensus …,,"https://scholar.google.com/scholar?q=related:SbWk6khU-GkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"Q Xv, Y Song, X Li, A Hu, J Wang",A Novel Blockchain-Based Revocable Permission Management on CP-ABE Scheme,2021.0,"… , ICAIS 2021, Dublin, Ireland, July 19 …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-78621-2_54,"https://scholar.google.com/scholar?cites=2098564431629039797&as_sdt=2005&sciodt=0,5&hl=en",100.0,2023-11-17 09:14:23,,10.1007/978-3-030-78621-2_54,,,,,,,1.0,0.5,0.0,5.0,2.0,… This paper proposed an on-chain user permission management mechanism that could … the issue of blockchain permission management and proposes a user permission management …,,"https://scholar.google.com/scholar?q=related:tbiEXTuZHx0J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,Z Zheng,Blockchain Technology and Research on Informed Consent Rules in Art Auctions,2022.0,The Legal System of Art Auction in China,Springer,https://link.springer.com/chapter/10.1007/978-981-19-0128-7_6,,113.0,2023-11-17 09:14:23,,10.1007/978-981-19-0128-7_6,,,,,,,0.0,0.0,0.0,1.0,1.0,"… of informed consent is separated … consent rules, cope with the impact of block chain technology on the art auction market, and build a new interpretation framework of informed consent …",,"https://scholar.google.com/scholar?q=related:k4aLbUMe0OUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jung H.H.; Pfister F.M.J.,Blockchain-enabled Clinical Study Consent Management,2020.0,Scopus,,,,,,,10.22215/timreview/1325,,,10,2.0,,,,,,,,"Written informed consent (WIC) is required in the context of voluntary participation in a clinical trial. The trial participant gives WIC in accordance with various regulatory requirements. We present a framework concept for a blockchain-based distributed ledger solution, which aims at implementing simple and secure management of WIC documentation, along the entire data value chain from acquiring consent to academic publication, and (commercially) exploiting the results of a clinical study. This may include (but is not limited to) clinical deployment, security monitoring, and conformity with data privacy and ethical standards. Thus, we present a potential “Health AI” application that goes beyond WIC documentation, to enabling the creation of a holistic data provenance trail graph. Such a framework concept aims to create sustainable value for study participants, clinicians, data scientists, and ultimately consumers. The framework's usefulness is relevant for ensuring the ethical development of artificial intelligence applications in the healthcare domain. © 2012 Universidad Autonoma del Estado de Mexico. All rights reserved.",,,"Jung, Hans H. (57215844282); Pfister, Franz M.J. (57190406157)",57215844282; 57190406157,Technology Innovation Management Review,,14.0,24.0,10.0,8.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082082174&doi=10.22215%2ftimreview%2f1325&partnerID=40&md5=10b9425ed78581fd2c22ff3f7d5a16c6,AI Ethics; Blockchain; Clinical Study; Health Artificial Intelligence (AI); Platform Business Model; Written Informed Consent,,Article,Final,All Open Access; Gold Open Access,2-s2.0-85082082174,,,,,,,,,,,,,
,Mamo N.; Martin G.M.; Desira M.; Ellul B.; Ebejer J.-P.,Dwarna: a blockchain solution for dynamic consent in biobanking,2020.0,Scopus,,,,,,,10.1038/s41431-019-0560-9,,,28,5.0,,,,,,,,"Dynamic consent aims to empower research partners and facilitate active participation in the research process. Used within the context of biobanking, it gives individuals access to information and control to determine how and where their biospecimens and data should be used. We present Dwarna—a web portal for ‘dynamic consent’ that acts as a hub connecting the different stakeholders of the Malta Biobank: biobank managers, researchers, research partners, and the general public. The portal stores research partners’ consent in a blockchain to create an immutable audit trail of research partners’ consent changes. Dwarna’s structure also presents a solution to the European Union’s General Data Protection Regulation’s right to erasure—a right that is seemingly incompatible with the blockchain model. Dwarna’s transparent structure increases trustworthiness in the biobanking process by giving research partners more control over which research studies they participate in, by facilitating the withdrawal of consent and by making it possible to request that the biospecimen and associated data are destroyed. © 2019, The Author(s).",,,"Mamo, Nicholas (57201582128); Martin, Gillian M. (56523763900); Desira, Maria (57212507986); Ellul, Bridget (56615920300); Ebejer, Jean-Paul (55210473600)",57201582128; 56523763900; 57212507986; 56615920300; 55210473600,European Journal of Human Genetics,,609.0,626.0,17.0,39.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076891629&doi=10.1038%2fs41431-019-0560-9&partnerID=40&md5=3c82a7edb0ab26d88e8560fbe39bdaa9,,"Biological Specimen Banks; Blockchain; Genetic Privacy; Genetics, Medical; Humans; Informed Consent; Software; Stakeholder Participation; access to information; adult; article; biobank; European Union; human; Malta; manager; genetic privacy; informed consent; medical genetics; software; stakeholder engagement",Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-85076891629,,,,,,,,,,,,,
,Daraghmi E.-Y.; Daraghmi Y.-A.; Yuan S.-M.,MedChain: A design of blockchain-based system for medical records access and permissions management,2019.0,Scopus,,,,,,,10.1109/ACCESS.2019.2952942,,,7,,,,,,,,,"Although the blockchain technology was first introduced through Bitcoin, extending its usage to non-financial applications, such as managing electronic medical records, is an attractive mission for recent research to balance the needs for increasing data privacy and the regular interaction among patients and health providers. Various systems that adopts the blockchain in managing medical records have been proposed. However, there is a need for more work to better characterize, understand and evaluate the employment of blockchain technology in the healthcare industry. In this paper, a design of blockchain based system, namely MedChain, for managing medical records is proposed. MedChain is designed to improve the current systems as it provides interoperable, secure, and effective access for medical records by patients, health care providers, and other third parties, while keeping the patients' privacy. MedChain employs timed-based smart contracts for governing transactions and controlling accesses to electronic medical records. It adopts advanced encryption techniques for providing further security. This work proposes a new incentive mechanism that leverages the degree of health providers regarding their efforts on maintaining medical records and creating new blocks. Extensive experiments are conducted to evaluate the MedChain performance, and results indicate the efficiency of our proposal in handling a large dataset at low latency. © 2013 IEEE.",,,"Daraghmi, Eman-Yasser (43260969300); Daraghmi, Yousef-Awwad (55611420300); Yuan, Shyan-Ming (57135992000)",43260969300; 55611420300; 57135992000,IEEE Access,8895951,164595.0,164613.0,18.0,98.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075631977&doi=10.1109%2fACCESS.2019.2952942&partnerID=40&md5=4b9d05c7696c4fcf23f2b47f16fa0f7c,Blockchain; Electronic medical records; Incentive mechanism; Smart contracts,Cryptography; Data privacy; Health care; Interoperability; Large dataset; Medical computing; Electronic medical record; Encryption technique; Financial applications; Health care providers; Healthcare industry; Incentive mechanism; Medical record; Recent researches; Blockchain,Article,Final,All Open Access; Gold Open Access,2-s2.0-85075631977,,,,,,,,,,,,,
,Ouaguid A.; Abghour N.; Ouzzif M.,A Novel Security Framework for Managing Android Permissions Using Blockchain Technology,2019.0,Scopus,,,,,,,10.4018/978-1-5225-6201-6.ch009,,,,,,,,,,,,"This article presents a new framework named ANDROSCANREG (Android Permissions Scan Registry) that allows to extract and analyze the requested permissions in an Android application via a decentralized and distributed system. This framework is based on the emerging technology Blockchain whose potential is approved in the matter of transparency, reliability, security and availability without resorting to a central processing unit judged of trust. ANDROSCANREG consists of two Blockchains, the first one (PERMBC) will handle analysis, validation and preparation of the raw results so that they will persist in the second Blockchain of Bitcoin already existing (BTCBC), which will assume the role of a Registry of recovered permissions and will save the permissions history of each version of the applications being scanned via financial transactions, whose wallet source, recipient wallet and transaction value have a precise meaning. An example of a simulation will be presented to describe the different steps, actors, interactions and messages generated by the different entity of ANDROSCANREG. © 2019 by IGI Global. All rights reserved.",,,"Ouaguid, Abdellah (57216147995); Abghour, Noreddine (36080364700); Ouzzif, Mohammed (24178281900)",57216147995; 36080364700; 24178281900,Digital Currency: Breakthroughs in Research and Practice,,141.0,167.0,26.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128066696&doi=10.4018%2f978-1-5225-6201-6.ch009&partnerID=40&md5=99a0b39fc048d33633a701498fe930dd,,,Book chapter,Final,,2-s2.0-85128066696,,,,,,,,,,,,,
