Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
138,"J Liu, X Li, L Ye, H Zhang, X Du, ...",BPDS: A blockchain based privacy-preserving data sharing for electronic medical records,2018,2018 IEEE Global …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8647713/,"https://scholar.google.com/scholar?cites=110282050330252880&as_sdt=2005&sciodt=0,5&hl=en",28,2022-05-23 9:55:50,,,,,,,,,138,34.5,23,6,4,"… Aiming at data security and patients’ privacy issues in healthcare, we adopt consortium blockchain … In fact, protecting data privacy from the perspective of data itself is simpler and more …",https://arxiv.org/pdf/1811.03223,"https://scholar.google.com/scholar?q=related:UFYJw_DMhwEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
115,"K Fan, Y Ren, Y Wang, H Li, Y Yang",Blockchain-based efficient privacy preserving and data sharing scheme of content-centric network in 5G,2018,IET communications,IET,,"https://scholar.google.com/scholar?cites=15454192427677572875&as_sdt=2005&sciodt=0,5&hl=en",70,2022-05-23 9:55:50,CITATION,10.1049/iet-com.2017.0619,,,,,,,115,28.75,23,5,4,,https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-com.2017.0619,"https://scholar.google.com/scholar?q=related:C99AFiJSeNYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
104,"M Chanson, A Bogner, D Bilgeri, ...",Blockchain for the IoT: privacy-preserving protection of sensor data,2019,Journal of the …,alexandria.unisg.ch,https://www.alexandria.unisg.ch/id/eprint/259820,"https://scholar.google.com/scholar?cites=9146118968288837818&as_sdt=2005&sciodt=0,5&hl=en",37,2022-05-23 9:55:50,,,,,,,,,104,34.67,26,4,3,"… sensor data integrity while guaranteeing sufficient user privacy. In … Blockchain technology cannot assure data privacy per se, so privacy must be implemented on top of the blockchain …",https://www.alexandria.unisg.ch/259820/1/None_Chanson_2019_IoT_Data_Certification.pdf,"https://scholar.google.com/scholar?q=related:uoBRUr6K7X4J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
104,"I Makhdoom, I Zhou, M Abolhasan, J Lipman, W Ni",PrivySharing: A blockchain-based framework for privacy-preserving and secure data sharing in smart cities,2020,Computers & Security,Elsevier,https://www.sciencedirect.com/science/article/pii/S016740481930197X,"https://scholar.google.com/scholar?cites=3202251803915078944&as_sdt=2005&sciodt=0,5&hl=en",30,2022-05-23 9:55:50,,,,,,,,,104,52,21,5,2,"… The data privacy is preserved by dividing the blockchain network into various channels, … data such as health, smart car, smart energy or financial details. Moreover, access to users’ data …",https://opus.lib.uts.edu.au/bitstream/10453/147586/2/Binder3.pdf,"https://scholar.google.com/scholar?q=related:IE22pQyvcCwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
81,"BK Zheng, LH Zhu, M Shen, F Gao, C Zhang, ...",Scalable and privacy-preserving data sharing based on blockchain,2018,Journal of Computer …,Springer,https://link.springer.com/article/10.1007/s11390-018-1840-5,"https://scholar.google.com/scholar?cites=685670300426292095&as_sdt=2005&sciodt=0,5&hl=en",20,2022-05-23 9:55:50,,10.1007/s11390-018-1840-5,,,,,,,81,20.25,14,6,4,"… 2) We propose a new method to protect multi-party data privacy in blockchain. In this new method, the (p, t)-threshold Paillier cryptosystem is applied to the blockchain. The private key …",http://jcst.ict.ac.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=2438,"https://scholar.google.com/scholar?q=related:f8vxYYH9gwkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
80,"Q Zhao, S Chen, Z Liu, T Baker, Y Zhang",Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,2020,Information Processing & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306457320308505,"https://scholar.google.com/scholar?cites=11777330029579986966&as_sdt=2005&sciodt=0,5&hl=en",31,2022-05-23 9:55:50,,,,,,,,,80,40,16,5,2,"… resists the leaking of data privacy caused by the un-trusted third party. We employ the blockchain technology to construct the model, then, the auditor queries the proof of the data for an …",https://researchonline.ljmu.ac.uk/id/eprint/13260/8/Blockchain-Based%20Privacy-Preserving%20Remote%20Data.pdf,"https://scholar.google.com/scholar?q=related:FuinT0N7caMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
66,"C Wirth, M Kolain",Privacy by blockchain design: a blockchain-enabled GDPR-compliant approach for handling personal data,2018,Proceedings of 1st ERCIM Blockchain Workshop …,dl.eusset.eu,https://dl.eusset.eu/handle/20.500.12015/3159,"https://scholar.google.com/scholar?cites=4902930409611227441&as_sdt=2005&sciodt=0,5&hl=en",56,2022-05-23 9:55:50,,,,,,,,,66,16.5,33,2,4,… focusing on the data subject’s consent in a blockchain-enabled … some general thoughts on why blockchain is an important … transparency and privacy under which personal data could be …,https://dl.eusset.eu/bitstream/20.500.12015/3159/1/blockchain2018_03.pdf,"https://scholar.google.com/scholar?q=related:MXFWDzu1CkQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
66,"H Tian, J He, Y Ding",Medical data management on blockchain with privacy,2019,Journal of medical systems,Springer,https://link.springer.com/article/10.1007/s10916-018-1144-x,"https://scholar.google.com/scholar?cites=4643381301053638713&as_sdt=2005&sciodt=0,5&hl=en",38,2022-05-23 9:55:50,,10.1007/s10916-018-1144-x,,,,,,,66,22,22,3,3,"… we think its privacy is weak. In this paper, the encrypted data is stored in a blockchain and is … embedded, which balances the integrity, availability and privacy properties of medical data. …",,"https://scholar.google.com/scholar?q=related:OUj-DbGacEAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
65,"L Tan, K Yu, N Shi, C Yang, W Wei, ...",Towards secure and privacy-preserving data sharing for covid-19 medical records: A blockchain-empowered approach,2021,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9507353/,"https://scholar.google.com/scholar?cites=13893008804161590325&as_sdt=2005&sciodt=0,5&hl=en",135,2022-05-23 9:55:50,,,,,,,,,65,65,11,6,1,"… , we propose a blockchain-empowered security and privacy protection … blockchain for uniform identity authentication and all public keys, revocation lists, etc are stored on a blockchain. …",,"https://scholar.google.com/scholar?q=related:NRRtKebhzcAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
64,"N Kaaniche, M Laurent",A blockchain-based data usage auditing architecture with enhanced privacy and availability,2017,2017 IEEE 16th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8171384/,"https://scholar.google.com/scholar?cites=443111313458731388&as_sdt=2005&sciodt=0,5&hl=en",58,2022-05-23 9:55:50,,,,,,,,,64,12.8,32,2,5,"… blockchain-based platform for data usage auditing while preserving users’ privacy and ensuring continuous data … First, relying on a blockchain infrastructure, we provide a trusted and …",https://hal.archives-ouvertes.fr/hal-01682227/document,"https://scholar.google.com/scholar?q=related:fBmqUmQ_JgYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
62,G Magyar,Blockchain: Solving the privacy and research availability tradeoff for EHR data: A new disruptive technology in health data management,2017,2017 IEEE 30th Neumann Colloquium (NC),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8263269/,"https://scholar.google.com/scholar?cites=8651009361206226680&as_sdt=2005&sciodt=0,5&hl=en",76,2022-05-23 9:55:50,,,,,,,,,62,12.4,62,1,5,"… data records, (2) a peer-to-peer network containing identical exemplars of the blockchain data structure, (3) a consensus mechanism securing the synchronized growth of the blockchain…",,"https://scholar.google.com/scholar?q=related:-K5G0y2PDngJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
58,"H Wang, S Ma, HN Dai, M Imran, T Wang",Blockchain-based data privacy management with nudge theory in open banking,2020,Future Generation Computer …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X18322702,"https://scholar.google.com/scholar?cites=5081036687532890336&as_sdt=2005&sciodt=0,5&hl=en",5,2022-05-23 9:55:50,,,,,,,,,58,29,12,5,2,"… of financial data privacy protection. In order to address the existing problems, this paper proposes a new data privacy management framework based on the blockchain technology for …",https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2626978/blockchain+data+privacy-FGCS-final.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:4BggY_J3g0YJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
52,"Z Lv, L Qiao, MS Hossain, BJ Choi",Analysis of using blockchain to protect the privacy of drone big data,2021,IEEE Network,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9354924/,"https://scholar.google.com/scholar?cites=11678633178487246702&as_sdt=2005&sciodt=0,5&hl=en",7,2022-05-23 9:55:50,,,,,,,,,52,52,13,4,1,… unit cryptosystem for encryption of blockchain data. Privacy analysis is provided to validate … proposed UAV big data privacy protection scheme based on blockchain technology has low …,,"https://scholar.google.com/scholar?q=related:bs_S8f_WEqIJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
50,"B Le Nguyen, EL Lydia, M Elhoseny, ...",Privacy preserving blockchain technique to achieve secure and reliable sharing of IoT data,2020,"… , Materials & Continua",researchgate.net,https://www.researchgate.net/profile/Irina-Pustokhina/publication/343156522_Privacy_Preserving_Blockchain_Technique_to_Achieve_Secure_and_Reliable_Sharing_of_IoT_Data/links/6037cbe892851c4ed599016e/Privacy-Preserving-Blockchain-Technique-to-Achieve-Secure-and-Reliable-Sharing-of-IoT-Data.pdf,"https://scholar.google.com/scholar?cites=15124604369690494791&as_sdt=2005&sciodt=0,5&hl=en",69,2022-05-23 9:55:50,PDF,,,,,,,,50,25,13,4,2,"… Then, ECC is used to create effective and accurate privacy … blockchain technique to create a secure and reliable data exchange platform across multiple data providers, where IoT data …",https://www.researchgate.net/profile/Irina-Pustokhina/publication/343156522_Privacy_Preserving_Blockchain_Technique_to_Achieve_Secure_and_Reliable_Sharing_of_IoT_Data/links/6037cbe892851c4ed599016e/Privacy-Preserving-Blockchain-Technique-to-Achieve-Secure-and-Reliable-Sharing-of-IoT-Data.pdf,"https://scholar.google.com/scholar?q=related:Rwe5Z4pj5dEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
48,"WEI She, ZH Gu, XK Lyu, QI Liu, Z Tian, W Liu",Homomorphic consortium blockchain for smart home system sensitive data privacy preserving,2019,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8715767/,"https://scholar.google.com/scholar?cites=6928055706074958959&as_sdt=2005&sciodt=0,5&hl=en",8,2022-05-23 9:55:50,,,,,,,,,48,16,8,6,3,"… the privacy of users. In this paper, we propose a homomorphic consortium blockchain for SHS sensitive data privacy … , we propose a new block data structure based on homomorphic …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08715767.pdf,"https://scholar.google.com/scholar?q=related:b0y3UPVlJWAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
48,"R Ch, G Srivastava, TR Gadekallu, ...",Security and privacy of UAV data using blockchain technology,2020,Journal of Information …,Elsevier,https://www.sciencedirect.com/science/article/pii/S221421262030822X,"https://scholar.google.com/scholar?cites=4142613619743709583&as_sdt=2005&sciodt=0,5&hl=en",24,2022-05-23 9:55:50,,,,,,,,,48,24,12,4,2,"… data privacy, data preservation in IoT Devices, UAVs, and Drone applications using blockchain … to achieve the desired security and privacy in data maintenance. The highlights of the …",,"https://scholar.google.com/scholar?q=related:j9mEfiOFfTkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
47,S Schwerin,Blockchain and privacy protection in the case of the european general data protection regulation (GDPR): a delphi study,2018,The Journal of the British Blockchain …,jbba.scholasticahq.com,https://jbba.scholasticahq.com/article/3554.pdf,"https://scholar.google.com/scholar?cites=17647109329635451863&as_sdt=2005&sciodt=0,5&hl=en",83,2022-05-23 9:55:50,PDF,,,,,,,,47,11.75,47,1,4,… active dialogue between blockchain developers and regulatory … With the support of this work and the blockchain Privacy … a data controller or deleting personal data within a blockchain. …,https://jbba.scholasticahq.com/article/3554.pdf,"https://scholar.google.com/scholar?q=related:1yNn2W8g5_QJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
47,"S Jiang, J Cao, JA McCann, Y Yang, ...",Privacy-preserving and efficient multi-keyword search over encrypted data on blockchain,2019,… on Blockchain …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8946181/,"https://scholar.google.com/scholar?cites=13952269667644235088&as_sdt=2005&sciodt=0,5&hl=en",88,2022-05-23 9:55:50,,,,,,,,,47,15.67,9,5,3,"… In this paper, we propose a blockchain-based data management system with functions of privacy-preserving and efficient database setup, dynamic update and multi-keyword search. …",https://web.comp.polyu.edu.hk/labimcl/paper/Jiang-2019-Blockchain-Multi-Keyword-Search.pdf,"https://scholar.google.com/scholar?q=related:UF1kJldroMEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
45,"Y Ren, Y Leng, F Zhu, J Wang, HJ Kim",Data storage mechanism based on blockchain with privacy protection in wireless body area network,2019,Sensors,mdpi.com,https://www.mdpi.com/468658,"https://scholar.google.com/scholar?cites=6977557698704918510&as_sdt=2005&sciodt=0,5&hl=en",86,2022-05-23 9:55:50,,,,,,,,,45,15,9,5,3,"… The privacy and security of data storage in WBAN devices cannot meet the needs of WBAN … adopts blockchain technology to store data, which improves the security of the collected data…",https://www.mdpi.com/1424-8220/19/10/2395/pdf,"https://scholar.google.com/scholar?q=related:7kcZH8JD1WAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
43,A Lazarovich,Invisible Ink: blockchain for data privacy,2015,,dspace.mit.edu,https://dspace.mit.edu/handle/1721.1/98626,"https://scholar.google.com/scholar?cites=12566168595283777430&as_sdt=2005&sciodt=0,5&hl=en",2,2022-05-23 9:55:50,,,,,,,,,43,6.14,43,1,7,… -to- peer network that uses blockchain technology and off-blockchain storage to securely distribute sensitive data in a decentralized manner using a custom blockchain protocol. Our two …,https://dspace.mit.edu/bitstream/handle/1721.1/98626/920475053-MIT.pdf?sequence=1&isAllowed=y,"https://scholar.google.com/scholar?q=related:lhePTcL_Y64J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
42,"MMH Onik, CS Kim, NY Lee, J Yang",Privacy-aware blockchain for personal data sharing and tracking,2019,Open Computer Science,degruyter.com,https://www.degruyter.com/document/doi/10.1515/comp-2019-0005/html,"https://scholar.google.com/scholar?cites=3514705382024903759&as_sdt=2005&sciodt=0,5&hl=en",36,2022-05-23 9:55:50,,10.1515/comp-2019-0005,,,,,,,42,14,11,4,3,"… data sharing, deleting, modifying and tracking features to verify the privacy of proposed blockchain … It allows data privacy tracking of the internet of things (IoT) apparatus. However, the …",https://www.degruyter.com/document/doi/10.1515/comp-2019-0005/pdf,"https://scholar.google.com/scholar?q=related:T3y_Wey9xjAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
38,"D Arora, S Gautham, H Gupta, ...",Blockchain-based security solutions to preserve data privacy and integrity,2019,"… , and Intelligent Systems …",ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8974503/,"https://scholar.google.com/scholar?cites=17104984494003812467&as_sdt=2005&sciodt=0,5&hl=en",1,2022-05-23 9:55:50,,,,,,,,,38,12.67,10,4,3,"The emerging blockchain technology helps in the decentralization of transactions, where … , transactional data which is stored and validated is also increasing. The blockchain technology …",,"https://scholar.google.com/scholar?q=related:c3ipbcUcYe0J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
30,"H Ghayvat, SN Pandya, P Bhattacharya, ...",CP-BDHCA: Blockchain-based Confidentiality-Privacy preserving Big Data scheme for healthcare clouds and applications,2021,IEEE Journal of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9484786/,"https://scholar.google.com/scholar?cites=9831358242257479025&as_sdt=2005&sciodt=0,5&hl=en",102,2022-05-23 9:55:50,,,,,,,,,30,30,8,4,1,"… By introducing blockchain, we are auditing every transaction along with action performed on data. Authentication- Most of the blockchain platforms use public key infrastructure (typically …",,"https://scholar.google.com/scholar?q=related:caVdiTsAcIgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
28,"GP Joshi, E Perumal, K Shankar, U Tariq, T Ahmad, ...",Toward blockchain-enabled privacy-preserving data transmission in cluster-based vehicular networks,2020,Electronics,mdpi.com,https://www.mdpi.com/804186,"https://scholar.google.com/scholar?cites=15889275350173476830&as_sdt=2005&sciodt=0,5&hl=en",100,2022-05-23 9:55:50,,,,,,,,,28,14,5,6,2,"… security and privacy of these messages must be preserved. Therefore, this paper introduces an efficient privacy-preserving data transmission architecture that makes use of blockchain …",https://www.mdpi.com/2079-9292/9/9/1358/pdf,"https://scholar.google.com/scholar?q=related:3ud1-b4LgtwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
27,"C Kaiser, M Steger, A Dorri, A Festl, A Stocker, ...",Towards a privacy-preserving way of vehicle data sharing–a case for blockchain technology?,2018,International Forum on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-99762-9_10,"https://scholar.google.com/scholar?cites=1579047533995296048&as_sdt=2005&sciodt=0,5&hl=en",95,2022-05-23 9:55:50,,10.1007/978-3-319-99762-9_10,,,,,,,27,6.75,5,6,4,"… work and background for Blockchain technology in the … data sharing ecosystem, the underlying privacy challenge and propose possible privacy setting schemes protecting the privacy of …",https://scottproject.eu/wp-content/uploads/2019/08/Kaiser_Towards-a-Privacy-Preserving-Way-of-Vehicle-Data-Sharing-A-Case-for-Blockchain-Technology_SCOTT_version.pdf,"https://scholar.google.com/scholar?q=related:MAU_s13n6RUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
27,"G Srivastava, RM Parizi, A Dehghantanha, ...",Data sharing and privacy for patient iot devices using blockchain,2019,… Conference on Smart …,Springer,https://link.springer.com/chapter/10.1007/978-981-15-1301-5_27,"https://scholar.google.com/scholar?cites=2676193029867304874&as_sdt=2005&sciodt=0,5&hl=en",77,2022-05-23 9:55:50,,10.1007/978-981-15-1301-5_27,,,,,,,27,9,7,4,3,"… However, there are a number of limitations underpinning the use of blockchain, which limits … blockchain protocol called GHOSTDAG in both a public blockchain and a private blockchain…",https://www.researchgate.net/profile/Reza-Parizi/publication/336672026_Data_Sharing_and_Privacy_for_Patient_IoT_Devices_Using_Blockchain/links/5dab4f43299bf111d4bee117/Data-Sharing-and-Privacy-for-Patient-IoT-Devices-Using-Blockchain.pdf,"https://scholar.google.com/scholar?q=related:qvedr2G_IyUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
