Title,Abstract
Privacy preserving data certification in the Internet of Things: Leveraging blockchain technology to secure sensor data,Privacy preserving data certification in the Internet of Things: Leveraging blockchain technology to secure sensor data - Research Collection … Privacy preserving data …
The social benefits of blockchain for health data: Securing patient privacy & control,
Blockchain: solving the privacy and research availability tradeoff for EHR data,
"Data Privacy Management, Cryptocurrencies and Blockchain Technology",
The Social Benefits of Blockchain for Health Data: Securing Patient Privacy and Control,
"MediBchain: A Blockchain Based Privacy Preserving Platform for Healthcare Data.[In:] Security, Privacy, and Anonymity in Computation, Communication …",
"Data Privacy Management, Cryptocurrencies and Blockchain Technology: ESORICS 2017 International Workshops, DPM 2017 and CBT 2017, Oslo …",
"Privacy, Data Protection and the Internet of Things: How Blockchain can potentially alleviate the privacy risks posed by CIoT devices.","Privacy, Data Protection and the Internet of Things: How Blockchain can potentially alleviate the privacy risks posed by CIoT devices. … Privacy policy … Privacy policy …"
Blockchain: A panacea for healthcare cloud-based data security and privacy?,"… of off-chain storage of data, where data is kept outside of blockchain in a conventional or a … data are stored in the blockchain. This is said to be the best of both worlds, as healthcare data …"
Towards secure and privacy-preserving data sharing in e-health systems via consortium blockchain,… We propose a framework for blockchain based PHI sharing with security and privacy preservation for diagnosis improvements in e-Health system. Two blockchains are introduced. The …
BPDS: A blockchain based privacy-preserving data sharing for electronic medical records,"… Aiming at data security and patients’ privacy issues in healthcare, we adopt consortium blockchain … In fact, protecting data privacy from the perspective of data itself is simpler and more …"
Blockchain-based efficient privacy preserving and data sharing scheme of content-centric network in 5G,
Scalable and privacy-preserving data sharing based on blockchain,"… 2) We propose a new method to protect multi-party data privacy in blockchain. In this new method, the (p, t)-threshold Paillier cryptosystem is applied to the blockchain. The private key …"
Privacy by blockchain design: a blockchain-enabled GDPR-compliant approach for handling personal data,… focusing on the data subject’s consent in a blockchain-enabled … some general thoughts on why blockchain is an important … transparency and privacy under which personal data could be …
Blockchain and privacy protection in the case of the european general data protection regulation (GDPR): a delphi study,… active dialogue between blockchain developers and regulatory … With the support of this work and the blockchain Privacy … a data controller or deleting personal data within a blockchain. …
Towards a privacy-preserving way of vehicle data sharing–a case for blockchain technology?,"… work and background for Blockchain technology in the … data sharing ecosystem, the underlying privacy challenge and propose possible privacy setting schemes protecting the privacy of …"
i-Blockchain: A blockchain-empowered individual-centric framework for privacy-preserved use of personal health data,… using an individual-centric framework for the utilization of personal health data based on an extension of a permissioned blockchain in this study. The basic architecture is shown in Fig. …
Blockchain for student data privacy and consent,"… Blockchain technology represents a promising approach for … , allowing a public school data administrator the ability to grant … for data access rights relying on smart contracts. These …"
An approach to data privacy in smart home using blockchain technology,"… an approach to data privacy using blockchain technology for … Section II presents research related to blockchain technology … apply blockchain technology into the IoT, IoTBlockchain …"
Automated remote patient monitoring: Data sharing and privacy using blockchain,"… The solution for data privacy and security could very well be Blockchain … two blockchain based protocols, private blockchain where we perform all experiment with patient health data …"
Privacy protection mechanism for blockchain transaction data,"… and other privacy information from this data by applying big data analysis techniques. … data analysis on blockchain transaction data was analyzed, and the attack methods based on data …"
Towards an end-to-end IoT data privacy-preserving framework using blockchain technology,"… privacy, a rigorous privacy model that preserves data privacy while maintaining utility in our framework. In fact, by adding some noise to the transactions, we can prevent blockchain …"
Leveraging blockchain to enhance data privacy in IoT-based applications,… how blockchain can be leveraged to tackle data privacy … full control over their data and can track how data are accessed by … using blockchain that helps prevent fraudulent data caused …
"Protecting infrastructure data via enhanced access control, blockchain and differential privacy",… blockchain and differential privacy to provide strong data protection for critical infrastructure assets and reduce data privacy … access and differential privacy strategies based on user …
A reliable data provenance and privacy preservation architecture for business-driven cyber-physical systems using blockchain,"… privacy preservation issues in these domains. Specifically, we focus on business-driven situations and adopt blockchain … domain) provenance and privacy preserving user interface (in …"
Blockchain-GDPR Privacy by Design How Decentralized Blockchain Internet will Comply with GDPR Data Privacy,
"Blockchain: a panacea for healthcare cloud-based data security and privacy? IEEE Cloud Computing, 5 (1), 31–37",
Nudging data privacy management of open banking based on blockchain,… still poses some problems that cannot fully meet the data protection … blockchain-based data privacy management framework. The framework consists of three components: a data privacy …
A privacy-preserving system for data ownership using blockchain and distributed databases,… We introduce a system that restores a weak notion of data ownership by leveraging new blockchain technologies like decentralized and distributed ledgers and databases. Data …
"Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy? IEEE Cloud Comput. 5 (1), 31–37 (2018)",
Building trust & protecting privacy: analyzing evidentiary quality in a blockchain proof-of-concept for health research data consent management,… The solution team broadly sought to evaluate the use of blockchain … data and understand how blockchain technology would help provide participants with control over their data. In some …
"Data Privacy Management, Cryptocurrencies and Blockchain Technology",
“Blockchain-based ai voice assistant brings data privacy to smart homes,
Blockchain Meets Data Privacy (Part 1) Blockchain And The Data Controller,
Major Blockchain Group Says Europe Should Exempt Bitcoin from New Data Privacy Rule,
Privacy by blockchain design: A blockchain-enabled GDPR-compliant approach for handling personal data,OPUS 4 | Privacy by BlockChain Design: A BlockChain-enabled GDPR-compliant Approach for Handling Personal Data … Privacy by BlockChain Design: A BlockChain-enabled GDPR-compliant …
A blockchain-based data usage auditing architecture with enhanced privacy and availability To cite this version Availability,
Data privacy considerations for Blockchain technology,
Why zk-SNARKs are crucial for Blockchain data privacy,
"Blockchain: a panacea for healthcare cloud-based data security and privacy? IEEE Cloud Comput. 5, 31–37 (2018)",
Blockchain-Based Data Sharing and Decentralizing Privacy,
Blockchain meets Data Privacy (Part 1),… to blockchain-based data processing. Part one deals with the question of determining the data controller in blockchain systems because numerous responsibilities rest upon the data …
The Applicability of Blockchain in Indonesia Based on Indonesian Data Privacy Regulation,"… when blockchain cannot meet the requirements of personal data … of blockchain in Indonesia based on data privacy law in … establish a privacy data protection framework on blockchain, …"
Data Privacy Management Using Privacy Compliant Blockchain Structures,"… ontology and integrated it with the properties of blockchain, to develop an automated access… data privacy policies when sharing their data across third parties. Our blockchain based data…"
Blockchain-based approach for tracking the state of client's personal information for data transparency and accountability in relation with Data Privacy Act of 2012 …,"… paper to use a blockchain-based approach to support data transparency and accountability in … The blockchain-based approach ensures immutability, hence increasing the data integrity. …"
Hybrid blockchain for data sharing privacy,"… We believe that blockchain-based networks are the ultimate solution for solving the mentioned privacy … became popular, we present various solutions that aim to ensure data privacy. …"
Application Possibilities of Blockchain Technology in Banking Sector in terms of Data Security and Privacy,"… possibilities of blockchain in banking industry that further enhance privacy and data security … for use case, a bank that embraces blockchain in its early development by issuing 100.000…"
Implementing decentralized storage using blockchain to address data ownership and privacy concerns,… data storage based on blockchain and also including proof-of-work that ensures users themselves own and control their data without compromise of security and privacy. … data privacy …
Survey on Blockchain Based Privacy Preserving Digital Ledger for Medical Data sharing,… what makes blockchain made so popular and inevitable technology and how blockchain made … Finally detailed study current blockchain technologies and how blockchain become the …
Blockchain and federated learning for privacy-preserved data sharing in industrial IoT,"… 3) We integrate differential privacy into federated learning to further protect data privacy. We also evaluate the effectiveness of our proposed model with benchmark, open real-world …"
Privacy-preserving support vector machine training over blockchain-based encrypted IoT data in smart cities,"… secureSVM, which is a privacy-preserving SVM training scheme over blockchain-based … IoT data. We utilize the blockchain techniques to build a secure and reliable data sharing …"
Privacy-friendly platform for healthcare data in cloud based on blockchain environment,"… overall privacy of patient centric systems. In this paper, we present a patient centric … data management system using blockchain technology as storage which helps to attain privacy…"
Healthchain: A blockchain-based privacy preserving scheme for large-scale health data,"… lose control of their health data, which can easily result in privacy leakage and single-point … health data privacy preserving scheme based on blockchain technology, where health data …"
Blockchain for the IoT: privacy-preserving protection of sensor data,"… sensor data integrity while guaranteeing sufficient user privacy. In … Blockchain technology cannot assure data privacy per se, so privacy must be implemented on top of the blockchain …"
Medical data management on blockchain with privacy,"… we think its privacy is weak. In this paper, the encrypted data is stored in a blockchain and is … embedded, which balances the integrity, availability and privacy properties of medical data. …"
Homomorphic consortium blockchain for smart home system sensitive data privacy preserving,"… the privacy of users. In this paper, we propose a homomorphic consortium blockchain for SHS sensitive data privacy … , we propose a new block data structure based on homomorphic …"
Privacy-preserving and efficient multi-keyword search over encrypted data on blockchain,"… In this paper, we propose a blockchain-based data management system with functions of privacy-preserving and efficient database setup, dynamic update and multi-keyword search. …"
Data storage mechanism based on blockchain with privacy protection in wireless body area network,"… The privacy and security of data storage in WBAN devices cannot meet the needs of WBAN … adopts blockchain technology to store data, which improves the security of the collected data…"
Privacy-aware blockchain for personal data sharing and tracking,"… data sharing, deleting, modifying and tracking features to verify the privacy of proposed blockchain … It allows data privacy tracking of the internet of things (IoT) apparatus. However, the …"
Blockchain-based security solutions to preserve data privacy and integrity,"The emerging blockchain technology helps in the decentralization of transactions, where … , transactional data which is stored and validated is also increasing. The blockchain technology …"
Data sharing and privacy for patient iot devices using blockchain,"… However, there are a number of limitations underpinning the use of blockchain, which limits … blockchain protocol called GHOSTDAG in both a public blockchain and a private blockchain…"
Edge AI and blockchain for privacy-critical and data-sensitive applications,"… In privacy-critical systems, the appearance of new vulnerabilities is more significant. To … an Ethereum Blockchain based architecture with edge artificial intelligence to analyze data at the …"
Blockchain: a research framework for data security and privacy,"… theme called ‘blockchain data security and privacy’, and … such as ‘blockchain (security) applications’, ‘blockchain (security) … , a blockchain-based architecture for preserving data privacy, …"
Blockchain-based approach for e-health data access management with privacy protection,"… many blockchain based software solutions within a wide range of domains. In this paper we present a system design where blockchain … In order to protect confidential data, our solution …"
User-controlled privacy-preserving user profile data sharing based on blockchain,"… for data sharing and management have privacy and … blockchain in user modeling. In this paper, we constructed a decentralized data sharing architecture with MultiChain blockchain in …"
Personal data broker instead of blockchain for students' data privacy assurance,"… of Blockchain related to the privacy and data security … the Blockchain a suitable technology to ensure data privacy … motivated by the upward trend of Blockchain’s use, advocate …"
Verifiable search meets blockchain: A privacy-preserving framework for outsourced encrypted data,"… data users can query from the cloud and obtain desired results, which ensures the data privacy … operation inherently performed in the blockchain, we use blockchain to store the index, …"
Blockchain technology: Data privacy issues and potential mitigation strategies,
Blockchain based Dynamic Patient Consent: A Privacy-Preserving Data Acquisition Architecture for Clinical Data Analytics.,"… privacy-preserving data sharing on distributed and decentralized environments. Therefore, to cater the requirement of privacy-preserving data acquisition for clinical data … blockchain …"
Privacy-preserving statistical analysis of health data using paillier homomorphic encryption and permissioned blockchain,"… data. We aimed to increase the accuracy of data analysis protocols while preserving the privacy of patients… To achieve this goal, we leveraged the blockchain technology and the Paillier …"
Privacy in the Internet of Things: A Study to Protect User's Data in LPR Systems Using Blockchain,"… architecture that uses blockchain technology to guarantee the privacy of data captured by LPR … to users is performed through a blockchain. To ensure data privacy and user identity, the …"
Blockchain enabled privacy preserving data audit,… blockchain based privacy preserving audit protocol which is resilient even when any two out of the data … We used state channels to minimize blockchain commits thereby improving …
Medical Blockchain of Privacy Data Sharing Model Based on Ring Signature,
Privacy preserving government data sharing based on hyperledger blockchain,"… of privacy disclosure in government data sharing, this paper attempts to start with the implementation mechanism of blockchain… These bills emphasize that data privacy is a basic right …"
BlockChain data privacy protection mechanism based on searchable encryption,
PrivySharing: a blockchain-based framework for integrity and privacy-preserving data sharing in smart cities,"… for integrity and privacy-preserving IoT data sharing in a smart … The data privacy is preserved by dividing the blockchain … of data such as health, smart car, smart energy or financial data…"
"Toward secure, privacy-preserving, and interoperable medical data sharing via blockchain","… In addition, we devise a data privacy classification policy to differentiate multiple portions of a patient’s medical records to enforce privacy protection. • We use Ethereum blockchain to …"
Privacy-preserving blockchain based federated learning with differential data sharing,"… world where data is becoming one of the most valuable assets, robust data privacy policies … an even bigger necessity to secure sensitive user data. In due course with the ever-evolving …"
Privacy protection of occupant behavior data and using blockchain for securely transferring temperature records in HVAC systems,"… privacy issue when using occupant behavior data, and methods to protect data privacy with blockchain … Both two options of using blockchain for privacy protection, sending data records …"
"Privacy-preserving support vector machine training over blockchain-based encrypted IoT data in smart cities. IEEE Internet Things J. 6, 7702–7712 (2019)",
Transparent Cloud Privacy: Data Provenance Expression in Blockchain.,… data provenance. This paper examines the W3C recommendation for data provenance PROV and if the blockchain … required to satisfy data provenance. The research shows that not all …
Blockchain data privacy protection mechanism based on searchable encryption [J],
"Healthchain: a blockchain-based privacy preserving scheme for large-scale health data. IEEE Internet Things J. 6 (5), 8770–8781 (2019)",
A Survey on Privacy Concerns in Blockchain Applications and Current Blockchain Solutions to Preserve Data Privacy,… applications and various solutions for privacy preserving methods for blockchain. Our … of various privacy preserving methods for blockchain that assists in protecting data privacy. This …
Data Sharing and Privacy–Preserving of Medical Records Using Blockchain,"… of blockchain and to understand how blockchain … with privacy assurance in cloud computing and data dependent on advanced assent models, blockchain identity, and blockchain audit. …"
GDPR & Blockchain: At the intersection of data privacy and technology,
Blockchain as an efficient and alternative mechanism for strengthening and securing the privacy of healthcare patient and clinical research data,"… • Showcase blockchain as an efficient, alternative method to secure/strengthen the privacy of healthcare & clinical research data, reviewing quantitative data points and analysing the …"
Blockchain and FL for privacy preserved data sharing in industrial internet of things,
"Privacy-preserving support vector machine training over blockchain-based encrypted iot data in smart cities. IEEE Internet Things J. PP (c), 1 (2019)",
"Privacy-aware blockchain for personal data sharing and tracking,​ Open Computer Science, 9 (1)",
"Privacy-aware blockchain for personal data sharing and tracking. Open Comput. Sci. 9, 80–91 (2019)",
Blockchain-based Intelligent Hospital Security and Data Privacy Construction,"… Blockchain technology may solve the above problems to some extent, so we can introduce … data and store it by using blockchain technology to build a decentralized and trustworthy data …"
Privacy-friendly Blockchain Based Data Trading and Tracking,"… high risk of data privacy, the easy-to-copy feature of data, and … a privacy-friendly blockchain and smart contract based data … Our framework keeps tamper-proof records of data trading …"
Research on a Data Desensitization Algorithm of Blockchain Distributed Energy Transaction Based on Differential Privacy,… processing before the data is stored in chains can make data be a … blockchain and support reducing financial risk of transactions for all parties. Data desensitization is also a data privacy …
Fraud Detection in Medical Insurance Claim with Privacy Preserving Data Publishing in TLS-N Using Blockchain,"… Data privacy must be given utmost importance while we handle medical insurance scenarios, TLS-N with privacy preserving data publishing schemes facilitates privacy and mitigates …"
Blockchain for strengthening the privacy of healthcare data,"… place; a decentralized connected architecture called blockchain. This concept can solve the … transparent, secure method to share data and protect patient privacy. The aim of this article …"
"Distributed Mobility Data Management, Privacy, and Cyber-Security Using Blockchain Technology","… shady companies share people's mobility data to unwanted third parties. A blockchain framework for Smart Mobility Data is presented for addressing the privacy, security, management, …"
Training Encrypted Models with Privacy-preserved Data on Blockchain,"… Blockchain has the advantage of decentralization and immutability for transactions. Therefore, we believe that Blockchain … of messages among all nodes on Blockchain. It constructs an …"
"Extending Atomic Chain Swaps. ESORICS 2019, Data Privacy Management, Cryptocurrencies and Blockchain Technology",
Healthcare System using Pegged Blockchain considering Scalability and Data Privacy,"… where data … the data they shared and by implementing the same concept on Healthcare system, we will be able to protect user data privacy from the third party that handles their data, in …"
"Data Privacy Management, Cryptocurrencies and Blockchain Technology","… exchange on areas related to the management of privacy-sensitive information. This is a very … -level privacy policies, administration of sensitive identifiers, data integration and privacy …"
Proof-of-Useful-Work as Dual-Purpose Mechanism for Blockchain and AI: Blockchain Consensus that Enables Privacy Preserving Data Mining,"… Data privacy is achieved with a geometric data perturbation, a perturbation method that preserves privacy … This work addresses two key challenges for blockchain consensus schemes …"
Exploring Individual Intent towards Blockchain Technology in Response to Threats to Personal Data and Privacy,"… that feature anonymity and data integrity. This study is … towards blockchain technology, in response to privacy threats. … towards privacy-enhancing technologies such as blockchain. …"
Privacy Revisited: The Impact of Blockchain Technology on the Disclosure of Personal Data,"… perceive the privacy impact of blockchain technology and how … blockchain technology, the privacy paradox and the privacy … as trust, self-efficacy and privacy control. Taken together this …"
"Blockchain: A Safe, Efficient Solution for Driver Privacy and Connected Vehicle Transportation Data Sharing","… and privacy. This study investigates the potential for Blockchain to support safer delivery of CAV data. … , it demonstrates how Blockchain can improve the level of security and privacy of …"
Incentive-Compatible and Privacy-Preserving Data Analytics System enabled by Blockchain and Multiparty Computation,"… Among the others, being the blockchain a public and shared ledger, it doesn't offer privacy of data… In this work, the blockchain is integrated with Secure Multi-Party Computation (MPC), a …"
"Data Privacy Management, Cryptocurrencies and Blockchain Technology",
… Improve Public Procurement in Ukraine: The Interaction Between an Increase of Data Transparency and a Preservation of Data Privacy Through the Prism …,
Privacy-Preserving Data Sharing on Multi-Layer Blockchain: Case Study on Healthcare,
PrivySharing: A blockchain-based framework for privacy-preserving and secure data sharing in smart cities,"… The data privacy is preserved by dividing the blockchain network into various channels, … data such as health, smart car, smart energy or financial details. Moreover, access to users’ data …"
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,"… resists the leaking of data privacy caused by the un-trusted third party. We employ the blockchain technology to construct the model, then, the auditor queries the proof of the data for an …"
Blockchain-based data privacy management with nudge theory in open banking,"… of financial data privacy protection. In order to address the existing problems, this paper proposes a new data privacy management framework based on the blockchain technology for …"
Privacy preserving blockchain technique to achieve secure and reliable sharing of IoT data,"… Then, ECC is used to create effective and accurate privacy … blockchain technique to create a secure and reliable data exchange platform across multiple data providers, where IoT data …"
Security and privacy of UAV data using blockchain technology,"… data privacy, data preservation in IoT Devices, UAVs, and Drone applications using blockchain … to achieve the desired security and privacy in data maintenance. The highlights of the …"
Toward blockchain-enabled privacy-preserving data transmission in cluster-based vehicular networks,"… security and privacy of these messages must be preserved. Therefore, this paper introduces an efficient privacy-preserving data transmission architecture that makes use of blockchain …"
A blockchain-based scheme for privacy-preserving and secure sharing of medical data,"… exponential increase of medical data. In this paper, a blockchain-based privacy-preserving scheme is proposed, which realizes secure sharing of medical data between several entities …"
Achieving privacy-preserving and verifiable data sharing in vehicular fog with blockchain,"… In this paper, we propose a blockchain-based privacypreserving vehicular sensory data collection and sharing scheme. By exploiting the 2-DNF cryptosystem and an identity-based …"
SOChain: a privacy-preserving DDoS data exchange service over SOC consortium blockchain,"… DDoS data. In this article, we propose a decentralized DDoS data exchange platform, namely SOChain, using blockchain … deployed onto the blockchain system. To address the issue of …"
A blockchain-assisted intelligent transportation system promoting data services with privacy protection,"… ITS architecture by using blockchain technology solving the privacy protection and security … terms of data privacy and security in ITS infrastructure networks, the blockchain technology …"
Enhancing privacy and data security across healthcare applications using blockchain and distributed ledger concepts,"… blockchain-based digital platforms allow for fast, easy, and seamless interactions between data suppliers to enhance privacy and data … The author developed a blockchain for privacy …"
Decentralized privacy-preserving data aggregation scheme for smart grid based on blockchain,… privacy-preserving data aggregation (DPPDA) scheme for smart grid based on blockchain. In … center and the trusted third party while protecting the data privacy of the user’s smart meter. …
Data encryption based blockchain and privacy preserving mechanisms towards big data,"… Aiming at data encryption mechanism, we discuss existing anonymity and privacy protection schemes. Our discussion can further promote the development of Blockchain. …"
Blockchain-based data storage with privacy and authentication in internet-of-things,… blockchain technology has presented for privacy preserving and immutability of vehicles in Vehicular Adhoc Networks (VANETs) [36]. The blockchain … Blockchainbased trust model has …
Blockchain Family Deed Certificate for Privacy and Data Security,"… data, and if family members grow, then, the parties only need to add the member's data in the blockchain, because, the blockchain … the editing of the wrong data, but without a third party …"
Privacy-Preserving Tucker Train Decomposition Over Blockchain-Based Encrypted Industrial IoT Data,… blockchain techniques to enable IIoT data providers to reliably and securely share their data by … that can easily be accommodated on the blockchain while protecting data privacy for the …
"Data privacy management, cryptocurrencies and blockchain technology","… of the 12th Data Privacy Management International Workshop … related to the management of privacy-sensitive information. … privacy policies, administration of sensitive identifiers, data …"
Privacy preserving blockchain technique to achieve secure and reliable sharing of IoT data,
Privacy-preserving K-nearest neighbors training over blockchain-based encrypted health data,"… provides a privacy-preserving K -NN training over IoT data. It employs Blockchain technology with … (ie, IoT data analyst C and IoT data provider P) data privacy. When C analyzes the IoT …"
A survey on blockchain-based identity management and decentralized privacy for personal data,… management and personal data security and privacy. We limit our discussion to the systems and architectures that proposed identity management and data privacy using blockchains. …
Blockchain-orchestrated machine learning for privacy preserving federated learning in electronic health data,… for an advanced blockchain-orchestrated machine learning system for privacy … Data and analytic processes discoverable on secure public blockchain while retaining privacy of the data …
Blockchain-based data management and edge-assisted trusted cloaking area construction for location privacy protection in vehicular networks,"… the trust mechanism to protect the location privacy of vehicles. In this article, … data management may be unsuitable for vehicular networks. We also propose a blockchain-based trust data …"
Smart contract data feed framework for privacy-preserving oracle system on blockchain,"… blockchain-based applications and research such as cryptocurrency increase, an oracle problem to bring external data in the blockchain … supporting privacy protection for external data, …"
Privacy-preserving blockchain-based data sharing platform for decentralized storage systems,… the re-encrypted data. 2) We propose a novel mechanism of hiding auditable data access control lists that are stored on the blockchain and fully managed by the data owners. A user …
Privacy Protection in Smart Cities by a Personal Data Management Protocol in Blockchain.,… Blockchain technology and encrypted currencies have so far … a protocol that converts the blockchain network to an automated … to be used on the blockchain network and attackers are …
Data privacy-preserving distributed knowledge discovery based on the blockchain,… Here we propose a blockchain-based method to discourage the participants to cheat or be … data privacy. The proposed method gives penalty to the betraying parties in the data privacy-…
A blockchain-based conditional privacy-preserving traffic data sharing in cloud,… we design a blockchainbased privacy-preserving traffic data sharing … CONDITIONAL PRIVACY-PRESERVING TRAFFIC DATA … a blockchain-based privacypreserving traffic data …
A Medical Data Privacy Protection Scheme Based on Blockchain and Cloud Computing,"… data privacy protection scheme, bring in a cloud computing pattern, and designed blockchain-based distributed data … in blockchain to ensure the security of patient data information …"
Blockchain-Driven Trusted Data Sharing With Privacy Protection in IoT Sensor Network,"… used in blockchain. In this paper, the secure sharing of IoV data scheme based on blockchain (called IoVChain) divides data into public data that can be shared in plain text and private …"
Research on distributed blockchain-based privacy-preserving and data security framework in IoT,
Decentralizing Privacy Using Blockchain to Protect Private Data and Challanges With IPFS,… to a consensus regarding addition of data to the blockchain. Every blockchain operation requires a processing fee. This fee makes storing of large data on the blockchain infeasible. An …
Block-smpc: A blockchain-based secure multi-party computation for privacy-protected data sharing,"… blockchain technology and SMPC to achieve efficient and feasible privacy-protected data … According to the essential roles in SMPC (ie data provider, data aggregator and computing …"
A privacy-preserving medical data sharing scheme based on consortium blockchain,"… In order to protect patients’ privacy while achieving efficient medical data sharing, we propose a privacy-preserving medical data sharing scheme based on consortium blockchain. In …"
Privacy Perspectives on Direct-to-Consumer Genetic Testing in the Era of Big Data: Role of Blockchain Technology in Genomics,"… use of blockchain technology to enhance consumer privacy. I argue that blockchain technology serves as an ideal privacy measure allowing researchers access to genomic data, while …"
Preserving the Privacy for University Data Using Blockchain and Attribute-based Encryption,"… In this work, a blockchain-based university data storage model is proposed and such barriers of blockchain are handled. The proposed model achieves the tamper resistance …"
Protection to Personal Data Using Decentralizing Privacy of Blockchain.,… or data is been hacked by another person. This chapter explores protection of data using the decentralized privacy of blockchain. … you to build blockchain which transacts in strict privacy. …
Blockchain privacy data protection method based on HEVC video steganography,"… the problem of transaction data privacy protection, which seriously … data in the blockchain is public on the network. Any attacker can obtain all transaction information, making the privacy …"
Blockchain: A New Technology to Enhance Data Security and Privacy in Internet of Things,"… Throughout this research article, we introduce an analysis of IoT security concerns; blockchain … advances, data privacy keeps going much further than blockchain technology as well as …"
Data privacy protection method of internet of things based on blockchain technology,"… privacy protection, this paper analyzes the application value of blockchain in the Internet of things privacy … aspects to solve the Internet of things privacy disclosure and tampering, as well …"
Designing privacy-friendly data repositories: a framework for a blockchain that follows the GDPR,… ’s focus is a generic literature review about blockchain and GDPR or blockchain and data privacy regulation. Blockchain governance models and technical requirements change on a …
"A survey on Blockchain-based applications for reforming data protection, privacy and security","… privacy of individual data in the online world. Hence, the purpose of this paper is to study the actual cases of Blockchain applied in the reformation of privacy … studies on data privacy and …"
"… Mohamed Selim, Gia Nhu Nguyen, and K. Shankar. Privacy Preserving Blockchain Technique to Achieve Secure and Reliable Sharing of IoT Data",
Private Blockchain Networks: A Solution for Data Privacy,… This paper describes how to create a private blockchain network and how other users can … This section tests the privacy of a private blockchain network by storing some backend data …
Integrating Machine Learning with Blockchain to Ensure Data Privacy,"… a permissioned blockchain network can be developed to ensure data privacy, they also proposed a privacyaware PKI system. How trustworthiness can be increased using blockchain is …"
Blockchain-Based Secure and Privacy-Preserving Clinical Data Sharing and Integration,"… medical data silos and to provide privacy-preserving data sharing via blockchain and … We leverage broadcast encryption, key regression, data privacy classification, blockchain and …"
Preserving data privacy in electronic health records using blockchain technology,"… & Barguil (2018), Data privacy and data accessibility are conflict with each other as data privacy ensures the overall control provided to access the data where as the accessibility means …"
Protecting Data Privacy and Prevent Fake News and Deepfakes in Social Media via Blockchain Technology,"… To protect data integrity and privacy of the users on social media, this paper … data privacy in social media via blockchain technology. The proposed trust index model use blockchain to …"
Blockchain-based privacy protection scheme for electric energy metering data,"… describes the privacy and security … data, blockchain deposit certificates, threshold ElGamal cryptographic system [7], and a blockchain-based electric energy measurement data privacy …"
Blockchain-Based Outsourced Privacy-Preserving Support Vector Machine Classification on IoT Data,"… However, although promising, the use of blockchain … : The data privacy issue associated with both blockchain and smart … : A privacy-preserving SVM classification scheme over IoT data …"
Privacy Preserving Data Aggregation and Dynamic Billing System in Smart Grid Using Permissioned Blockchain,… privacy-preserving dynamic billing and data aggregation scheme. Our scheme consists of permissioned blockchain that … To protect data privacy of a consumer from any internal/external …
BlockChain/ABE-based Fusion Solution for E-government Data Sharing and Privacy protection,… Protection Regulation(GDPR) adopted by European Union(EU) is a new data privacy and security … how to implement data sharing and control using blockchain-based CP-ABE scheme. …
Regulatable user privacy protection model of blockchain with encryption on sensitive data,
Data Privacy Protection of Industrial Blockchain,"… Therefore, the blockchain data privacy protection scheme proposed in this paper does not … blockchain when executing the upload data request. (2) Access data request test results …"
Towards on Blockchain Data Privacy Protection with Cryptography and Software Architecture Approach,"… data privacy schemes are basically based on cryptography. On the premise of satisfying the constraint mechanism of blockchain, … At the same time, we study data privacy protection from …"
