Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,J Camilo,Blockchain-based consent manager for GDPR compliance,2019,Open Identity Summit 2019,dl.gi.de,https://dl.gi.de/handle/20.500.12116/20985,"https://scholar.google.com/scholar?cites=10004306256580359591&as_sdt=2005&sciodt=0,5&hl=en",14,2022-05-22 11:27:47,,,,,,,,,13,4.33,13,1,3,"… a model of consent management for personal data that uses blockchain technology to help … regulation and offer an agile tool for consent control and interaction between data subjects, …",https://dl.gi.de/bitstream/handle/20.500.12116/20985/proceedings-14.pdf?isAllowed=y&sequence=1,"https://scholar.google.com/scholar?q=related:p7WwB4lv1ooJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
15,"K Rantos, G Drosatos, A Kritsas, C Ilioudis…",A blockchain-based platform for consent management of personal data processing in the IoT ecosystem,2019,Security and …,hindawi.com,https://www.hindawi.com/journals/scn/2019/1431578/,"https://scholar.google.com/scholar?cites=4977037163942878668&as_sdt=2005&sciodt=0,5&hl=en",18,2022-05-22 11:27:47,HTML,,,,,,,,15,5,3,5,3,"… consent or a consent that was valid during another period. Note that monitoring of data controller’s adherence to a consent is … data with the support of a blockchain infrastructure [11, 12]. …",https://www.hindawi.com/journals/scn/2019/1431578/,"https://scholar.google.com/scholar?q=related:zJ27Xu78EUUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
9,"T Rupasinghe, F Burstein, C Rudolph",Blockchain based Dynamic Patient Consent: A Privacy-Preserving Data Acquisition Architecture for Clinical Data Analytics.,2019,ICIS,researchmgt.monash.edu,https://researchmgt.monash.edu/ws/portalfiles/portal/300431085/300350057_oa.pdf,"https://scholar.google.com/scholar?cites=1288462138014750421&as_sdt=2005&sciodt=0,5&hl=en",19,2022-05-22 11:27:47,PDF,,,,,,,,9,3,3,3,3,"… patient consent with existing access control mechanisms. Recently, blockchain has been … a dynamic consent management architecture leveraging blockchain technology and smart …",https://researchmgt.monash.edu/ws/portalfiles/portal/300431085/300350057_oa.pdf,"https://scholar.google.com/scholar?q=related:1dbo6nyJ4REJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
5,"N Aldred, L Baal, G Broda, S Trumble…",Design and implementation of a blockchain-based consent management system,2019,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1912.09882,"https://scholar.google.com/scholar?cites=15967104057351559674&as_sdt=2005&sciodt=0,5&hl=en",20,2022-05-22 11:27:47,,,,,,,,,5,1.67,1,5,3,"… With blockchain’s built-in security and removal of the need for third party trust, blockchain … of a permissioned-based blockchain third party consent management system, whose policy …",https://arxiv.org/pdf/1912.09882,"https://scholar.google.com/scholar?q=related:-lkj9oqMlt0J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
7,"M Shah, C Li, M Sheng, Y Zhang, C Xing",CrowdMed: A blockchain-based approach to consent management for health data sharing,2019,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-34482-5_31,"https://scholar.google.com/scholar?cites=2074372457733162080&as_sdt=2005&sciodt=0,5&hl=en",23,2022-05-22 11:27:47,,10.1007/978-3-030-34482-5_31,,,,,,,7,2.33,1,5,3,… specific configuration of the blockchain. The popular Bitcoin … The mining activities in a blockchain open the possibility of … blockchain-based approach to managing patient consent and …,,"https://scholar.google.com/scholar?q=related:YAQKg8KmyRwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
4,"HR Sousa, A Pinto",Blockchain based informed consent with reputation support,2019,International Congress on Blockchain and …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-23813-1_7,"https://scholar.google.com/scholar?cites=6873299013815733717&as_sdt=2005&sciodt=0,5&hl=en",27,2022-05-22 11:27:47,,10.1007/978-3-030-23813-1_7,,,,,,,4,1.33,2,2,3,"… The presented solution allows the data controller to collect the consent, of a … said consent on public a blockchain. On the other hand, the data subject will be able to express his consent …",,"https://scholar.google.com/scholar?q=related:1Y2HaQndYl8J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
2,"M Beyene, S Thiebes, A Sunyaev",Multi-Stakeholder Consent Management in Genetic Testing: A Blockchain-Based Approach,2019,… 2019 Workshop on Blockchain …,researchgate.net,https://www.researchgate.net/profile/Mikael-Beyene/publication/337742664_Multi-Stakeholder_Consent_Management_in_Genetic_Testing_A_Blockchain-Based_Approach/links/5de7e639a6fdcc2837065515/Multi-Stakeholder-Consent-Management-in-Genetic-Testing-A-Blockchain-Based-Approach.pdf,"https://scholar.google.com/scholar?cites=3246195775450648631&as_sdt=2005&sciodt=0,5&hl=en",41,2022-05-22 11:27:47,PDF,,,,,,,,2,0.67,1,3,3,"… Blockchain-based multi-stakeholder consent management system. Blockchain in Genomics … Furthermore, we think that our work will be of great interest for the Blockchain community, …",https://www.researchgate.net/profile/Mikael-Beyene/publication/337742664_Multi-Stakeholder_Consent_Management_in_Genetic_Testing_A_Blockchain-Based_Approach/links/5de7e639a6fdcc2837065515/Multi-Stakeholder-Consent-Management-in-Genetic-Testing-A-Blockchain-Based-Approach.pdf,"https://scholar.google.com/scholar?q=related:NxAc09vNDC0J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
0,"AP Filippidis, K Rantos, A Papanikolaou, C Ilioudis…",A Blockchain-Based Platform for Consent Management of Personal Data Processing in the IoT Ecosystem,2019,,hephaestus.nup.ac.cy,http://hephaestus.nup.ac.cy/handle/11728/11753,,55,2022-05-22 11:27:47,,,,,,,,,0,0,0,5,3,"… consent or a consent that was valid during another period. Note that monitoring of data controller’s adherence to a consent is … data with the support of a blockchain infrastructure [11, 12]. …",,"https://scholar.google.com/scholar?q=related:tukRHnNNRngJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
0,"K Rantos, G Drosatos, A Kritsas, C Ilioudis…",Research Article A Blockchain-Based Platform for Consent Management of Personal Data Processing in the IoT Ecosystem,2019,,academia.edu,https://www.academia.edu/download/64343659/1431578.pdf,,62,2022-05-22 11:27:47,PDF,,,,,,,,0,0,0,5,3,"… consent or a consent that was valid during another period. Note that monitoring of data controller’s adherence to a consent is … data with the support of a blockchain infrastructure [11, 12]. …",https://www.academia.edu/download/64343659/1431578.pdf,"https://scholar.google.com/scholar?q=related:5HGLvWTnDqkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
31,"V Jaiman, V Urovi",A consent model for blockchain-based health data sharing platforms,2020,IEEE access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9159120/,"https://scholar.google.com/scholar?cites=7188483273359487766&as_sdt=2005&sciodt=0,5&hl=en",4,2022-05-22 11:27:47,,,,,,,,,31,15.5,16,2,2,"… In this article, we present a blockchain-based data-sharing consent … ’s consent over health data and to enable data requesters to search and access those data. The dynamic consent …",https://ieeexplore.ieee.org/iel7/6287639/8948470/09159120.pdf,"https://scholar.google.com/scholar?q=related:FvNtbnOfwmMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
31,"N Mamo, GM Martin, M Desira, B Ellul…",Dwarna: a blockchain solution for dynamic consent in biobanking,2020,European Journal of …,nature.com,https://www.nature.com/articles/s41431-019-0560-9,"https://scholar.google.com/scholar?cites=3075477227805524150&as_sdt=2005&sciodt=0,5&hl=en",6,2022-05-22 11:27:47,HTML,,,,,,,,31,15.5,6,5,2,"… partners’ consent changes more transparently. However, the blockchain is perceived as … for obtaining consent in the field of genomic research and the blockchain. Subsequently, we …",https://www.nature.com/articles/s41431-019-0560-9,"https://scholar.google.com/scholar?q=related:tsAmfj5KrioJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
29,"G Albanese, JP Calbimonte, M Schumacher…",Dynamic consent management for clinical trials via private blockchain technology,2020,Journal of Ambient …,Springer,https://link.springer.com/article/10.1007/s12652-020-01761-1,"https://scholar.google.com/scholar?cites=6831486855633420312&as_sdt=2005&sciodt=0,5&hl=en",8,2022-05-22 11:27:47,,10.1007/s12652-020-01761-1,,,,,,,29,14.5,7,4,2,"… , and (v) participant-centered control over her own consent preferences, approvals and … consent in clinical trials, based on blockchain technology (BCT). The usage of blockchain—an …",,"https://scholar.google.com/scholar?q=related:GMDHtRlRzl4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
9,"D Tith, JS Lee, H Suzuki…",Patient consent management by a purpose-based consent model for electronic health record based on blockchain technology,2020,Healthcare …,synapse.koreamed.org,https://synapse.koreamed.org/articles/1145361,"https://scholar.google.com/scholar?cites=1848830931180491524&as_sdt=2005&sciodt=0,5&hl=en",10,2022-05-22 11:27:47,HTML,,,,,,,,9,4.5,2,4,2,"… Our consent model is a solution for consent management both for patients and healthcare organizations. Our system, as a blockchain-based solution that provides high reliability and …",https://synapse.koreamed.org/articles/1145361,"https://scholar.google.com/scholar?q=related:BJPEtu9dqBkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
10,"PE Velmovitsky, PADSE Souza, H Vaillancourt…",A blockchain-based consent platform for active assisted living: modeling study and conceptual framework,2020,Journal of Medical …,jmir.org,https://www.jmir.org/2020/12/e20832/,"https://scholar.google.com/scholar?cites=7605111176009594642&as_sdt=2005&sciodt=0,5&hl=en",11,2022-05-22 11:27:47,HTML,,,,,,,,10,5,3,4,2,"… This paper explores the creation of a blockchain platform for consent management in … blockchain use cases developed by Gorenflo et al [43], and we apply this methodology to consent …",https://www.jmir.org/2020/12/e20832/,"https://scholar.google.com/scholar?q=related:ErdnK1LIimkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
6,"O Konashevych, O Khovayko",Randpay: The technology for blockchain micropayments and transactions which require recipient's consent,2020,Computers & Security,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167404820301656,"https://scholar.google.com/scholar?cites=7623481977332141816&as_sdt=2005&sciodt=0,5&hl=en",15,2022-05-22 11:27:47,,,,,,,,,6,3,3,2,2,… be published in the blockchain. Randpay is considered to be the first blockchain protocol to … the use of the blockchain for legal deeds that require a payee's consent to be recognized in …,https://www.researchgate.net/profile/Oleksii-Konashevych/publication/341644382_Randpay_The_Technology_for_Blockchain_Micropayments_and_Transactions_Which_Require_Recipient%27s_Consent/links/5edf4553a6fdcc476890b87d/Randpay-The-Technology-for-Blockchain-Micropayments-and-Transactions-Which-Require-Recipients-Consent.pdf,"https://scholar.google.com/scholar?q=related:-I55qncMzGkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
5,"CC Agbo, QH Mahmoud",Design and Implementation of a Blockchain-Based E-Health Consent Management Framework,2020,2020 ieee international conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9283203/,"https://scholar.google.com/scholar?cites=9607378532135564379&as_sdt=2005&sciodt=0,5&hl=en",16,2022-05-22 11:27:47,,,,,,,,,5,2.5,3,2,2,… to design an efficient consent management framework for the … a new blockchain-based eHealth consent management … the proposed blockchain-based e-Health consent management …,https://www.researchgate.net/profile/Cc_Agbo/publication/347629625_Design_and_Implementation_of_a_Blockchain-Based_E-Health_Consent_Management_Framework/links/601ce5cc92851c4ed54be503/Design-and-Implementation-of-a-Blockchain-Based-E-Health-Consent-Management-Framework.pdf,"https://scholar.google.com/scholar?q=related:W3Sndt9DVIUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
14,"J Ahmed, S Yildirim, M Nowostaki…",GDPR compliant consent driven data protection in online social networks: A blockchain-based approach,2020,… on Information and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9092226/,"https://scholar.google.com/scholar?cites=2912405031957850186&as_sdt=2005&sciodt=0,5&hl=en",21,2022-05-22 11:27:47,,,,,,,,,14,7,4,4,2,… argue that existing consent mechanisms in … blockchain-based approach for consent management. This paper paves the way for designing a blockchain-based GDPR compliant consent …,https://blockhack.osive.com/_downloads/0dfb3e976fdcd7b80bdd6cdf6fb03787/50.pdf,"https://scholar.google.com/scholar?q=related:SmjoK_LwaigJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
6,"HH Jung, FMJ Pfister",Blockchain-enabled clinical study consent management,2020,Technology Innovation Management Review,timreview.ca,https://www.timreview.ca/article/1325,"https://scholar.google.com/scholar?cites=225745111110908701&as_sdt=2005&sciodt=0,5&hl=en",22,2022-05-22 11:27:47,HTML,,,,,,,,6,3,3,2,2,"… Written informed consent (WIC) is required in the context of … We present a framework concept for a blockchain-based … data value chain from acquiring consent to academic publication, …",https://www.timreview.ca/article/1325,"https://scholar.google.com/scholar?q=related:HfuLhfsBIgMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
5,"G Despotou, J Evans, W Nash, A Eavis…",Evaluation of patient perception towards dynamic health data sharing using blockchain based digital consent with the Dovetail digital consent application: A cross …,2020,Digital …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/2055207620924949,"https://scholar.google.com/scholar?cites=5458973687319041746&as_sdt=2005&sciodt=0,5&hl=en",24,2022-05-22 11:27:47,,10.1177/2055207620924949,,,,,,,5,2.5,1,5,2,"… to digitally consent to sharing their data between services, using blockchain. This paper presents an evaluation of patients’ attitudes towards the deployed digital consent application as …",https://journals.sagepub.com/doi/pdf/10.1177/2055207620924949,"https://scholar.google.com/scholar?q=related:0hbbTqUrwksJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
5,"J Heiss, MR Ulbricht, J Eberhardt",Put Your Money Where Your Mouth Is–Towards Blockchain-based Consent Violation Detection,2020,… Conference on Blockchain …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9169455/,"https://scholar.google.com/scholar?cites=18437231610878422675&as_sdt=2005&sciodt=0,5&hl=en",25,2022-05-22 11:27:47,,,,,,,,,5,2.5,2,3,2,"… to violations of consent declarations through unauthorized … , blockchain-based approach for enabling economically motivated and technically mediated detection of violations of consent …",https://www.researchgate.net/profile/Jonathan-Heiss/publication/340940365_Put_Your_Money_Where_Your_Mouth_Is_-_Towards_Blockchain-based_Consent_Violation_Detection/links/5ea69cfda6fdccd79457ff0e/Put-Your-Money-Where-Your-Mouth-Is-Towards-Blockchain-based-Consent-Violation-Detection.pdf,"https://scholar.google.com/scholar?q=related:k-4CKHc03v8J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
0,"J Savulescu, P Ravaud, M Benchoufi","Blockchain, consent and prosent for medical research.",2020,Journal of Medical Ethics,europepmc.org,https://europepmc.org/article/med/32366703,,36,2022-05-22 11:27:47,,,,,,,,,0,0,0,3,2,… using blockchain-based smart contracts. This paper demonstrates how blockchain technologies can be used to further all three of the bioethical principles underlying consent …,,"https://scholar.google.com/scholar?q=related:s8JpE4Lr-0wJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
0,"Y Haik, I Bantekas",Nano-drug Clinical Trials: Informed Consent and Risk Management Through Blockchain,2020,Pitt. J. Tech. L. & Pol'y,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/pittjtlp21&section=4,,45,2022-05-22 11:27:47,,,,,,,,,0,0,0,2,2,… Permissioned blockchain recording system provides protective access to include new risk … improves the informed consent. The distributed feature of the blockchain ledger allows for …,,"https://scholar.google.com/scholar?q=related:ReYmVFIN4u4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
1,"AR Lee, MG Kim, KJ Won, IK Kim…",Coded Dynamic Consent framework using blockchain for healthcare information exchange,2020,2020 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9313330/,"https://scholar.google.com/scholar?cites=11402754266921615948&as_sdt=2005&sciodt=0,5&hl=en",48,2022-05-22 11:27:47,,,,,,,,,1,0.5,0,5,2,… to tailor and manage their consent. It expands patients’ … Consent framework based on blockchain. We developed five design criteria to support dynamic consent and represent consent …,,"https://scholar.google.com/scholar?q=related:TMLuZJe4Pp4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
0,B Moslavac,Consent by GDPR vs. Blockchain,2020,Revista Acadêmica Escola Superior do …,revistaacademica.mpce.mp.br,https://revistaacademica.mpce.mp.br/revista/article/view/22,,60,2022-05-22 11:27:47,,,,,,,,,0,0,0,1,2,"… consent due to lawfulness of personal data processing versus inclusion of same data in a chain using blockchain … of personal data substitute explicit consent for their processing. Finally, …",https://revistaacademica.mpce.mp.br/revista/article/download/22/18,"https://scholar.google.com/scholar?q=related:7GiqCLbpv10J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
2,"PE Velmovitsky, M PADSES, H Vaillancourt…",Blockchain and IoT: a conceptual framework for a blockchain consent platform in active assisted living,2020,J Med Internet Res,,,"https://scholar.google.com/scholar?cites=1361950418269584911&as_sdt=2005&sciodt=0,5&hl=en",64,2022-05-22 11:27:47,CITATION,,,,,,,,2,1,1,4,2,,,"https://scholar.google.com/scholar?q=related:Dz6ngrCe5hIJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
13,"SP Mann, J Savulescu, P Ravaud…","Blockchain, consent and prosent for medical research",2021,Journal of medical …,jme.bmj.com,https://jme.bmj.com/content/47/4/244.abstract,"https://scholar.google.com/scholar?cites=14209398746666134632&as_sdt=2005&sciodt=0,5&hl=en",1,2022-05-22 11:27:47,,,,,,,,,13,13,3,4,1,… using blockchain-based smart contracts. This paper demonstrates how blockchain technologies can be used to further all three of the bioethical principles underlying consent …,https://jme.bmj.com/content/medethics/47/4/244.full.pdf,"https://scholar.google.com/scholar?q=related:aGzqHuDsMcUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
14,"PV Kakarlapudi, QH Mahmoud",A systematic review of blockchain for consent management,2021,Healthcare,mdpi.com,https://www.mdpi.com/981714,"https://scholar.google.com/scholar?cites=14655047306785875065&as_sdt=2005&sciodt=0,5&hl=en",2,2022-05-22 11:27:47,,,,,,,,,14,14,7,2,1,"… to limit their consent, as a result, with consent management, … We believe that consent management with Blockchain makes … A blockchain is a digital transaction archive that is duplicated …",https://www.mdpi.com/2227-9032/9/2/137/pdf,"https://scholar.google.com/scholar?q=related:eWSEN-EvYcsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
3,"TM Kim, SJ Lee, DJ Chang, J Koo, T Kim, KH Yoon…",Dynamichain: Development of medical blockchain ecosystem based on dynamic consent system,2021,Applied Sciences,mdpi.com,https://www.mdpi.com/994060,"https://scholar.google.com/scholar?cites=6552979052989176052&as_sdt=2005&sciodt=0,5&hl=en",7,2022-05-22 11:27:47,,,,,,,,,3,3,0,7,1,"… Although blockchain is acknowledged as one of the most … In addition, contemporary blockchain-converged solutions do … of a dynamic consent medical blockchain system called …",https://www.mdpi.com/2076-3417/11/4/1612/htm,"https://scholar.google.com/scholar?q=related:9Nj-wbrb8FoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
0,"F Albalwy, A Brass, A Davies",A Blockchain-Based Dynamic Consent Architecture to Support Clinical Genomic Data Sharing (ConsentChain): Proof-of-Concept Study,2021,JMIR medical informatics,medinform.jmir.org,https://medinform.jmir.org/2021/11/e27816/,,28,2022-05-22 11:27:47,HTML,,,,,,,,0,0,0,3,1,"… is blockchain technology. As decentralized and distributed technology, blockchain technology … This paper proposes blockchain-based dynamic consent architecture to support genomic …",https://medinform.jmir.org/2021/11/e27816/,"https://scholar.google.com/scholar?q=related:XrRux8kTS3oJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent&hl=en&as_sdt=0,5"
